drugbank_id	zinc_id
DB00178	ZINC000146927171
DB00178	ZINC000169296116
DB00178	ZINC000169296117
DB00178	ZINC000253951174
DB00179	ZINC000000012342
DB00179	ZINC000000056472
DB00179	ZINC000000056474
DB00180	ZINC000003977837
DB00180	ZINC000004097305
DB00180	ZINC000004097306
DB00180	ZINC000008035399
DB00180	ZINC000038940498
DB00180	ZINC000081125369
DB00180	ZINC000253953093
DB00180	ZINC000253953098
DB00180	ZINC000253953100
DB00180	ZINC000254458869
DB00180	ZINC000254458873
DB00180	ZINC000254458877
DB00180	ZINC000254458881
DB00181	ZINC000000000061
DB00181	ZINC000000085733
DB00182	ZINC000006021033
DB00182	ZINC000006036847
DB00183	ZINC000008214644
DB00183	ZINC000095606236
DB00183	ZINC000095606237
DB00183	ZINC000095606238
DB00183	ZINC000162059423
DB00183	ZINC000253633760
DB00183	ZINC000253633765
DB00184	ZINC000000001798
DB00184	ZINC000000391812
DB00185	ZINC000000008699
DB00185	ZINC000000010163
DB00185	ZINC000000010164
DB00185	ZINC000003792909
DB00186	ZINC000000000431
DB00186	ZINC000000896595
DB00187	ZINC000000000257
DB00187	ZINC000000896523
DB00188	ZINC000169746649
DB00188	ZINC000169897614
DB00188	ZINC000169993369
DB00188	ZINC000195282482
DB00189	ZINC000000000267
DB00189	ZINC000000897283
DB00189	ZINC000012503063
DB00189	ZINC000012503065
DB00190	ZINC000019168887
DB00190	ZINC000019168901
DB00191	ZINC000008403947
DB00192	ZINC000001855421
DB00193	ZINC000000000853
DB00193	ZINC000000002200
DB00193	ZINC000001849532
DB00193	ZINC000002015652
DB00194	ZINC000000895113
DB00194	ZINC000000896706
DB00194	ZINC000000970363
DB00194	ZINC000002047403
DB00194	ZINC000002047673
DB00194	ZINC000002169830
DB00194	ZINC000002572650
DB00194	ZINC000003201876
DB00194	ZINC000003201878
DB00194	ZINC000003830178
DB00194	ZINC000003830179
DB00194	ZINC000003978047
DB00194	ZINC000003978048
DB00194	ZINC000003978049
DB00194	ZINC000004048240
DB00194	ZINC000008580514
DB00194	ZINC000103535772
DB00194	ZINC000138112529
DB00194	ZINC000138112649
DB00194	ZINC000138112755
DB00194	ZINC000138112848
DB00194	ZINC000139759436
DB00195	ZINC000001530567
DB00195	ZINC000001530568
DB00196	ZINC000000004009
DB00197	ZINC000000968276
DB00197	ZINC000000968277
DB00197	ZINC000000968278
DB00197	ZINC000000968279
DB00198	ZINC000003874568
DB00198	ZINC000003874569
DB00198	ZINC000003874570
DB00198	ZINC000003874571
DB00198	ZINC000003929508
DB00198	ZINC000011592802
