drugbank_id	rhea_id
DB02743	36218
DB02743	47931
DB02743	64351
DB02745	16704
DB02746	17563
DB02750	35235
DB02750	35236
DB02751	57742
DB02757	17241
DB02761	58591
DB02767	138437
DB02767	84197
DB02767	85635
DB02772	17992
DB02772	51833
DB02774	16109
DB02777	65211
DB02788	15686
DB02788	15687
DB02788	15688
DB02789	16581
DB02793	29780
DB02795	16639
DB02805	60784
DB02817	15398
DB02823	57488
DB02831	43474
DB02835	58392
DB02838	39785
DB02843	57629
DB02843	57684
DB02843	57734
DB02843	58336
DB02843	58409
DB02843	58601
DB02843	75522
DB02853	57726
DB02853	60039
DB02854	16032
DB02854	28195
DB02854	541975
DB02857	16750
DB02867	57629
DB02867	57684
DB02867	57734
DB02867	58336
DB02867	58409
DB02867	58601
DB02867	75522
DB02893	57844
DB02893	57932
DB02893	64558
DB02897	22191
DB02900	58225
DB02900	58247
DB02900	58735
DB02900	60332
DB02900	61548
DB02900	61567
DB02900	91004
DB02901	16330
DB02901	2150
DB02901	85278
DB02901	86377
DB02902	58339
DB02910	57386
DB02912	57392
DB02923	16205
DB02924	16431
DB02938	32362
DB02942	83242
DB02945	58658
DB02945	58720
DB02945	75525
DB02945	85312
DB02945	85313
DB02951	17180
DB02955	85150
DB02955	85152
DB02955	91295
DB02957	57538
DB02959	58266
DB02961	16055
DB02967	44485
DB02969	17957
DB02988	59193
DB02994	16223
DB02995	42939
DB03007	57411
DB03010	31550
DB03013	28681
DB03017	18262
DB03040	25548
DB03041	57635
DB03041	58052
DB03041	88042
DB03042	136749
DB03042	136756
DB03057	566274
DB03059	57286
DB03066	16004
DB03066	16651
DB03066	24996
DB03074	45075
DB03085	29805
DB03088	57948
DB03088	58402
DB03095	46020
DB03101	57720
DB03103	58369
DB03106	10642
DB03106	17268
DB03106	27372
DB03107	57966
DB03108	136590
DB03108	58766
DB03109	21601
DB03109	28037
DB03109	28497
DB03109	40356
DB03109	44278
DB03109	506227
DB03111	142399
DB03111	58516
DB03120	27023
DB03128	15355
DB03142	28272
DB03142	47002
DB03142	47013
DB03142	6178
