drugbank_id	molport_id
DB00227	MolPort-001-739-990
DB00227	MolPort-023-220-339
DB00227	MolPort-046-196-750
DB00227	MolPort-046-764-828
DB00228	MolPort-001-773-112
DB00229	MolPort-006-666-421
DB00229	MolPort-046-426-858
DB00232	MolPort-006-110-909
DB00233	MolPort-001-762-052
DB00234	MolPort-003-666-846
DB00234	MolPort-003-983-421
DB00234	MolPort-005-943-618
DB00234	MolPort-006-069-032
DB00234	MolPort-023-276-293
DB00234	MolPort-046-417-000
DB00235	MolPort-003-666-840
DB00235	MolPort-006-138-878
DB00235	MolPort-021-783-267
DB00235	MolPort-046-426-750
DB00236	MolPort-003-665-507
DB00238	MolPort-002-507-817
DB00238	MolPort-046-594-170
DB00239	MolPort-003-666-639
DB00239	MolPort-005-935-452
DB00242	MolPort-002-054-532
DB00242	MolPort-003-845-968
DB00242	MolPort-003-940-738
DB00243	MolPort-003-666-653
DB00243	MolPort-003-959-442
DB00243	MolPort-006-395-853
DB00243	MolPort-046-426-748
DB00244	MolPort-001-641-024
DB00244	MolPort-006-127-253
DB00245	MolPort-003-844-725
DB00245	MolPort-008-334-950
DB00245	MolPort-009-765-573
DB00245	MolPort-023-278-114
DB00245	MolPort-042-652-432
DB00246	MolPort-003-850-885
DB00246	MolPort-003-850-886
DB00246	MolPort-003-986-316
DB00246	MolPort-005-934-812
DB00247	MolPort-003-958-638
DB00248	MolPort-003-845-557
DB00248	MolPort-006-391-912
DB00249	MolPort-001-792-514
DB00249	MolPort-001-828-315
DB00250	MolPort-001-780-172
DB00250	MolPort-003-846-135
DB00251	MolPort-006-133-612
DB00252	MolPort-001-785-683
DB00252	MolPort-002-365-712
DB00252	MolPort-002-537-529
DB00252	MolPort-002-549-782
DB00252	MolPort-003-941-081
DB00252	MolPort-003-983-450
DB00252	MolPort-005-935-649
DB00252	MolPort-023-220-142
DB00252	MolPort-023-220-294
DB00253	MolPort-003-958-619
DB00254	MolPort-000-745-047
DB00254	MolPort-000-833-761
DB00254	MolPort-002-507-423
DB00254	MolPort-002-964-477
DB00254	MolPort-003-666-171
DB00254	MolPort-005-932-536
DB00254	MolPort-006-069-212
DB00254	MolPort-006-393-936
DB00254	MolPort-023-220-299
DB00254	MolPort-023-220-303
DB00254	MolPort-044-180-992
DB00254	MolPort-044-561-206
DB00254	MolPort-046-417-447
DB00255	MolPort-001-785-868
DB00257	MolPort-002-557-756
DB00258	MolPort-000-871-575
DB00258	MolPort-003-926-684
DB00258	MolPort-003-929-087
DB00258	MolPort-003-929-089
DB00259	MolPort-000-871-476
DB00260	MolPort-000-858-643
DB00260	MolPort-001-793-737
DB00260	MolPort-002-338-763
DB00262	MolPort-003-665-505
DB00263	MolPort-000-422-016
DB00264	MolPort-003-666-234
DB00264	MolPort-003-983-883
DB00264	MolPort-005-943-846
DB00264	MolPort-020-003-045
DB00264	MolPort-035-395-266
DB00264	MolPort-035-688-845
DB00264	MolPort-046-418-332
DB00264	MolPort-046-588-138
DB00265	MolPort-001-794-624
DB00266	MolPort-000-422-589
DB00267	MolPort-008-155-818
DB00267	MolPort-019-999-936
DB00267	MolPort-023-220-289
DB00267	MolPort-046-033-470
DB00267	MolPort-046-417-377
DB00268	MolPort-003-666-598
DB00268	MolPort-003-987-439
DB00268	MolPort-009-019-532
DB00269	MolPort-001-783-515
