drugbank_id	mcule_id
DB00413	MCULE-6778479529
DB00414	MCULE-3744173137
DB00415	MCULE-9165243575
DB00415	MCULE-9842380098
DB00416	MCULE-6152801555
DB00417	MCULE-1027273107
DB00417	MCULE-1403447086
DB00417	MCULE-4295291212
DB00417	MCULE-4516844426
DB00417	MCULE-4533801996
DB00417	MCULE-4931043539
DB00417	MCULE-6403349766
DB00417	MCULE-7617487411
DB00417	MCULE-8587207607
DB00417	MCULE-9997080204
DB00421	MCULE-4394091100
DB00421	MCULE-7750563158
DB00423	MCULE-7298838587
DB00426	MCULE-6850246103
DB00427	MCULE-1389248075
DB00427	MCULE-2587227502
DB00427	MCULE-7512792589
DB00429	MCULE-7300085951
DB00432	MCULE-2741899996
DB00434	MCULE-3352282545
DB00434	MCULE-4137922083
DB00436	MCULE-7811865125
DB00436	MCULE-8177278748
DB00437	MCULE-5186178136
DB00438	MCULE-5427330412
DB00438	MCULE-5605310919
DB00438	MCULE-6690139813
DB00438	MCULE-8901712338
DB00438	MCULE-9068634681
DB00440	MCULE-6670904388
DB00441	MCULE-1319156356
DB00442	MCULE-3253120424
DB00443	MCULE-4773827191
DB00443	MCULE-8449904782
DB00445	MCULE-1987806380
DB00445	MCULE-4188577717
DB00446	MCULE-1561770225
DB00446	MCULE-5311202412
DB00446	MCULE-5585315026
DB00446	MCULE-7778960570
DB00446	MCULE-8814562235
DB00448	MCULE-8446262134
DB00451	MCULE-4039377986
DB00451	MCULE-5308768589
DB00451	MCULE-5870225988
DB00451	MCULE-8611691549
DB00455	MCULE-5073177964
DB00456	MCULE-2780065478
DB00456	MCULE-2927862684
DB00456	MCULE-3627054086
DB00456	MCULE-4381582862
DB00456	MCULE-7320698397
DB00456	MCULE-8531048101
DB00456	MCULE-9158285466
DB00456	MCULE-9166019653
DB00457	MCULE-7492026178
DB00457	MCULE-8104643269
DB00458	MCULE-5997199711
DB00458	MCULE-9471074673
DB00462	MCULE-4003028645
DB00462	MCULE-6124492894
DB00462	MCULE-8895721422
DB00462	MCULE-9148232132
DB00463	MCULE-9702939099
DB00464	MCULE-3833394421
DB00465	MCULE-3065255051
DB00466	MCULE-1048308281
DB00466	MCULE-5890565313
DB00467	MCULE-2632820619
DB00468	MCULE-1532027186
DB00468	MCULE-3072325944
DB00468	MCULE-7178915526
DB00469	MCULE-4636246417
DB00477	MCULE-5976054678
DB00478	MCULE-3886392620
DB00478	MCULE-9027470290
DB00479	MCULE-2128725120
DB00479	MCULE-3053286725
DB00479	MCULE-6148260173
DB00479	MCULE-7653567955
DB00479	MCULE-7783931060
DB00479	MCULE-8924710657
DB00479	MCULE-9034136400
DB00479	MCULE-9088298957
DB00480	MCULE-1533631927
DB00480	MCULE-9771679074
DB00481	MCULE-4598311006
DB00481	MCULE-7336063262
DB00482	MCULE-4750749400
DB00483	MCULE-3296123143
DB00483	MCULE-6152801555
DB00483	MCULE-9106832696
DB00484	MCULE-4542695850
DB00485	MCULE-2219014670
DB00485	MCULE-7713174761
DB00485	MCULE-8854732588
DB00487	MCULE-3576829094
DB00488	MCULE-1605383293
DB00489	MCULE-3878563080
DB00489	MCULE-4593152748
DB00489	MCULE-8589076631
DB00490	MCULE-1919697845
DB00490	MCULE-3504513666
DB00491	MCULE-2158237443
DB00491	MCULE-6303672201
DB00491	MCULE-9755918434
DB00493	MCULE-4152259267
DB00493	MCULE-5307502173
DB00493	MCULE-5791552610
DB00493	MCULE-5908920538
DB00493	MCULE-6008190974
DB00493	MCULE-7225181552
DB00493	MCULE-7728414803
DB00493	MCULE-9988072641
DB00494	MCULE-1616553981
DB00495	MCULE-3669241621
DB00495	MCULE-8664408343
DB00496	MCULE-4616748439
DB00496	MCULE-9754914075
DB00498	MCULE-1090571544
DB00499	MCULE-7498839065
DB00500	MCULE-1437262277
DB00501	MCULE-2885245608
DB00502	MCULE-3693790133
DB00503	MCULE-6979781513
DB00503	MCULE-9029064305
DB00507	MCULE-8701444531
DB00508	MCULE-4776607695
DB00508	MCULE-9151902507
DB00509	MCULE-4039377986
DB00509	MCULE-5308768589
DB00509	MCULE-5870225988
DB00509	MCULE-8611691549
DB00513	MCULE-3640363033
DB00513	MCULE-6389520144
DB00513	MCULE-6593883576
DB00514	MCULE-1731999373
DB00514	MCULE-8682772123
DB00515	MCULE-3012913860
DB00515	MCULE-5646000632
DB00515	MCULE-7728164114
DB00517	MCULE-6124492894
DB00518	MCULE-5872469561
DB00522	MCULE-8110600304
DB00522	MCULE-8593111137
DB00523	MCULE-2591910021
DB00525	MCULE-6942707513
DB00526	MCULE-1677916175
DB00526	MCULE-2011367325
DB00526	MCULE-3012913860
DB00526	MCULE-6647815245
DB00527	MCULE-2036117305
DB00527	MCULE-4397469465
DB00528	MCULE-2712241399
DB00528	MCULE-2762147672
DB00530	MCULE-7764565391
DB00530	MCULE-9498970160
DB00531	MCULE-5327530727
DB00531	MCULE-8332285584
DB00532	MCULE-6021512202
DB00533	MCULE-4806636118
DB00534	MCULE-7569539735
DB00534	MCULE-7728164114
DB00536	MCULE-1152750770
DB00537	MCULE-8631780654
DB00538	MCULE-4909487075
DB00539	MCULE-5946773708
DB00539	MCULE-6965711017
DB00541	MCULE-1979497094
DB00541	MCULE-4865117155
DB00541	MCULE-9359957991
DB00541	MCULE-9716648888
DB00542	MCULE-3688223661
DB00542	MCULE-8422231821
DB00543	MCULE-9583761109
DB00544	MCULE-6338086431
DB00545	MCULE-2045762718
DB00545	MCULE-9535630272
DB00548	MCULE-4093240509
DB00549	MCULE-2053856450
DB00550	MCULE-9403710688
DB00551	MCULE-2682231025
DB00553	MCULE-2500932325
DB00554	MCULE-1939282084
DB00555	MCULE-7648410888
DB00557	MCULE-6995009916
DB00559	MCULE-3074160312
DB00561	MCULE-1905124271
DB00561	MCULE-3062213821
DB00561	MCULE-9853713128
DB00562	MCULE-7096059645
DB00563	MCULE-3234195945
DB00563	MCULE-6523054194
DB00564	MCULE-9121567287
DB00566	MCULE-6206640169
DB00567	MCULE-1022568448
DB00567	MCULE-1853559171
DB00567	MCULE-2533664895
DB00568	MCULE-5586055809
DB00568	MCULE-8383449065
DB00570	MCULE-7852064208
DB00570	MCULE-9557143632
DB00570	MCULE-9967454324
DB00571	MCULE-6124856976
DB00571	MCULE-7804628650
DB00572	MCULE-1764209130
DB00572	MCULE-2140948986
DB00572	MCULE-5981343996
DB00572	MCULE-9094179165
DB00573	MCULE-2686503876
DB00574	MCULE-1052472012
DB00574	MCULE-2995742925
DB00574	MCULE-5308858263
DB00574	MCULE-9398907294
DB00575	MCULE-5017779690
DB00575	MCULE-6555265624
DB00575	MCULE-9274594116
DB00576	MCULE-8287230974
DB00577	MCULE-5144364202
DB00577	MCULE-5197523416
DB00581	MCULE-4714786598
DB00581	MCULE-9703640332
DB00583	MCULE-6432281267
DB00585	MCULE-2060254827
DB00586	MCULE-1824024270
DB00588	MCULE-6320900519
DB00590	MCULE-1768007673
DB00590	MCULE-6153348827
DB00591	MCULE-1709160556
DB00592	MCULE-5522245554
DB00593	MCULE-4034034545
DB00594	MCULE-5948863568
DB00594	MCULE-7865947346
DB00595	MCULE-3329146897
DB00595	MCULE-5398230579
DB00595	MCULE-5409395488
DB00595	MCULE-9084405025
DB00597	MCULE-4909487075
DB00598	MCULE-1213322446
DB00598	MCULE-6427232261
DB00600	MCULE-6689165962
DB00601	MCULE-1386878455
DB00601	MCULE-7828732421
DB00602	MCULE-7927277604
DB00603	MCULE-1849472820
DB00603	MCULE-1992456011
DB00604	MCULE-7144129340
DB00605	MCULE-1650021370
DB00605	MCULE-2141100739
DB00605	MCULE-5977549605
