drugbank id	mesh id
DB00533	C:MESH:C116926
DB00534	C:MESH:D002717
DB00536	C:MESH:D019791
DB00537	C:MESH:D002939
DB00538	C:MESH:C112666
DB00539	C:MESH:D017312
DB00540	C:MESH:D009661
DB00541	C:MESH:D014750
DB00542	C:MESH:C044946
DB00543	C:MESH:D000657
DB00544	C:MESH:D005472
DB00546	C:MESH:C039668
DB00547	C:MESH:D003899
DB00548	C:MESH:C010038
DB00549	C:MESH:C062735
DB00550	C:MESH:D011441
DB00551	C:MESH:C006358
DB00552	C:MESH:D015649
DB00553	C:MESH:D008730
DB00554	C:MESH:D010894
DB00556	C:MESH:C042852
DB00557	C:MESH:D006919
DB00558	C:MESH:D053243
DB00561	C:MESH:D004315
DB00562	C:MESH:C004463
DB00563	C:MESH:D008727
DB00564	C:MESH:D002220
DB00565	C:MESH:C101584
DB00566	C:MESH:D004113
DB00568	C:MESH:D002936
DB00570	C:MESH:D014747
DB00571	C:MESH:D011433
DB00572	C:MESH:D001285
DB00573	C:MESH:D005279
DB00574	C:MESH:D005277
DB00575	C:MESH:D003000
DB00576	C:MESH:D013419
DB00578	C:MESH:D002228
DB00579	C:MESH:D008454
DB00580	C:MESH:C406224
DB00581	C:MESH:D007792
DB00582	C:MESH:D065819
DB00584	C:MESH:D004656
DB00585	C:MESH:D016567
DB00586	C:MESH:D004008
DB00587	C:MESH:C071436
DB00589	C:MESH:D008090
DB00590	C:MESH:D017292
DB00591	C:MESH:D005446
DB00593	C:MESH:D005013
DB00594	C:MESH:D000584
DB00596	C:MESH:C064466
DB00597	C:MESH:C062402
DB00598	C:MESH:D007741
DB00599	C:MESH:D013874
DB00600	C:MESH:C006429
DB00602	C:MESH:D007559
DB00603	C:MESH:D017258
DB00604	C:MESH:D020117
DB00605	C:MESH:D013467
DB00606	C:MESH:C004639
DB00607	C:MESH:D009254
DB00608	C:MESH:D002738
DB00609	C:MESH:D005000
DB00610	C:MESH:D008680
DB00611	C:MESH:D002077
DB00612	C:MESH:D017298
DB00613	C:MESH:D000655
DB00614	C:MESH:D005664
DB00615	C:MESH:D017828
DB00616	C:MESH:C062766
DB00617	C:MESH:C005731
DB00618	C:MESH:D003707
DB00620	C:MESH:D014221
DB00621	C:MESH:D010074
DB00622	C:MESH:D009529
DB00623	C:MESH:D005476
DB00624	C:MESH:D013739
DB00625	C:MESH:C098320
DB00626	C:MESH:D001414
DB00627	C:MESH:D009525
DB00629	C:MESH:D006143
DB00630	C:MESH:D019386
DB00632	C:MESH:C529236
DB00633	C:MESH:D020927
DB00634	C:MESH:D013409
DB00635	C:MESH:D011241
DB00636	C:MESH:D002994
DB00637	C:MESH:D016589
DB00639	C:MESH:C017125
DB00640	C:MESH:D000241
DB00641	C:MESH:D019821
DB00643	C:MESH:D008463
DB00644	C:MESH:D007987
DB00645	C:MESH:C100063
DB00646	C:MESH:D009761
DB00647	C:MESH:D011431
DB00648	C:MESH:D008939
DB00649	C:MESH:D018119
DB00650	C:MESH:D002955
DB00651	C:MESH:D004400
DB00653	C:MESH:D008278
DB00655	C:MESH:D004970
DB00656	C:MESH:D014196
DB00657	C:MESH:D008464
DB00660	C:MESH:C011301
DB00661	C:MESH:D014700
DB00662	C:MESH:C100146
DB00663	C:MESH:D005443
DB00664	C:MESH:D013415
DB00665	C:MESH:C021277
DB00666	C:MESH:D017274
DB00668	C:MESH:D004837
DB00669	C:MESH:D018170
DB00670	C:MESH:D010890
DB00672	C:MESH:D002747
DB00674	C:MESH:D005702
DB00675	C:MESH:D013629
DB00676	C:MESH:C006723
DB00677	C:MESH:D007531
DB00678	C:MESH:D019808
DB00679	C:MESH:D013881
DB00680	C:MESH:D016293
DB00681	C:MESH:D000666
DB00682	C:MESH:D014859
DB00683	C:MESH:D008874
DB00684	C:MESH:D014031
DB00685	C:MESH:C080163
DB00686	C:MESH:D010426
DB00687	C:MESH:D005438
DB00690	C:MESH:D005479
DB00691	C:MESH:C058302
DB00692	C:MESH:D010646
DB00693	C:MESH:D019793
DB00694	C:MESH:D003630
DB00695	C:MESH:D005665
DB00696	C:MESH:D004878
DB00697	C:MESH:C023754
DB00698	C:MESH:D009582
DB00699	C:MESH:D009530
DB00701	C:MESH:C095108
DB00703	C:MESH:D008704
DB00704	C:MESH:D009271
DB00705	C:MESH:D020008
DB00708	C:MESH:D017409
DB00709	C:MESH:D019259
DB00711	C:MESH:D004049
DB00712	C:MESH:D005480
DB00713	C:MESH:D010068
DB00714	C:MESH:D001058
DB00715	C:MESH:D017374
DB00716	C:MESH:D017835
DB00717	C:MESH:D009640
DB00718	C:MESH:C106812
DB00719	C:MESH:C006656
DB00720	C:MESH:D004002
DB00721	C:MESH:D011343
DB00723	C:MESH:D008729
DB00726	C:MESH:D014299
DB00727	C:MESH:D005996
DB00730	C:MESH:D013827
DB00733	C:MESH:C028797
DB00734	C:MESH:D018967
DB00735	C:MESH:C029178
DB00736	C:MESH:D064098
DB00737	C:MESH:D008468
DB00738	C:MESH:D010419
DB00739	C:MESH:C100115
DB00740	C:MESH:D019782
DB00741	C:MESH:D006854
DB00742	C:MESH:D008353
DB00743	C:MESH:C064572
DB00744	C:MESH:C063449
DB00746	C:MESH:D003676
DB00747	C:MESH:D012601
DB00748	C:MESH:C004649
DB00749	C:MESH:D017308
DB00750	C:MESH:D011318
DB00751	C:MESH:C053090
DB00752	C:MESH:D014191
DB00753	C:MESH:D007530
DB00754	C:MESH:C084606
DB00755	C:MESH:D014212
DB00756	C:MESH:D006582
DB00757	C:MESH:C060344
DB00759	C:MESH:D013752
DB00761	C:MESH:D011189
DB00763	C:MESH:D008713
