drugbank_id	lincs_id
DB00443	LSM-5202
DB00443	LSM-5512
DB00444	LSM-1483
DB00445	LSM-1622
DB00445	LSM-1799
DB00445	LSM-2078
DB00445	LSM-36423
DB00445	LSM-4062
DB00445	LSM-45684
DB00446	LSM-20955
DB00446	LSM-5069
DB00446	LSM-5256
DB00447	LSM-5429
DB00448	LSM-5064
DB00449	LSM-1583
DB00450	LSM-4193
DB00451	LSM-5447
DB00452	LSM-5787
DB00455	LSM-5891
DB00456	LSM-15184
DB00456	LSM-5929
DB00457	LSM-3079
DB00458	LSM-2852
DB00459	LSM-43217
DB00459	LSM-5713
DB00460	LSM-43146
DB00460	LSM-44934
DB00461	LSM-3453
DB00462	LSM-4308
DB00465	LSM-1526
DB00466	LSM-1504
DB00466	LSM-24959
DB00466	LSM-4980
DB00466	LSM-6051
DB00467	LSM-5848
DB00468	LSM-3325
DB00468	LSM-46038
DB00468	LSM-5109
DB00468	LSM-6020
DB00468	LSM-6452
DB00471	LSM-43144
DB00471	LSM-43228
DB00471	LSM-5768
DB00472	LSM-1449
DB00473	LSM-1954
DB00475	LSM-5922
DB00477	LSM-4017
DB00478	LSM-44963
DB00478	LSM-5143
DB00479	LSM-45899
DB00479	LSM-5935
DB00480	LSM-5237
DB00480	LSM-6187
DB00481	LSM-3425
DB00482	LSM-2032
DB00483	LSM-5540
DB00484	LSM-3526
DB00485	LSM-5234
DB00487	LSM-5653
DB00488	LSM-3492
DB00489	LSM-1465
DB00490	LSM-4105
DB00491	LSM-45690
DB00491	LSM-5559
DB00492	LSM-4444
DB00492	LSM-6485
DB00493	LSM-44978
DB00493	LSM-5834
DB00494	LSM-43240
DB00494	LSM-5898
DB00495	LSM-45628
DB00495	LSM-5806
DB00496	LSM-5995
DB00498	LSM-5784
DB00499	LSM-2621
DB00500	LSM-3852
DB00501	LSM-2404
DB00502	LSM-3512
DB00503	LSM-4954
DB00503	LSM-5623
DB00505	LSM-4996
DB00507	LSM-6002
DB00508	LSM-3421
DB00509	LSM-5447
DB00512	LSM-45214
DB00512	LSM-4992
DB00513	LSM-5733
DB00514	LSM-1535
DB00514	LSM-2525
DB00514	LSM-2726
DB00515	LSM-4268
DB00518	LSM-3782
DB00519	LSM-4402
DB00521	LSM-1541
DB00523	LSM-2135
DB00523	LSM-42854
DB00523	LSM-42855
DB00523	LSM-42856
DB00524	LSM-1680
DB00525	LSM-5554
DB00527	LSM-6018
DB00530	LSM-1097
DB00531	LSM-4961
DB00532	LSM-1852
DB00533	LSM-2482
DB00535	LSM-5216
DB00537	LSM-5226
DB00539	LSM-3135
DB00539	LSM-42973
DB00539	LSM-42974
DB00540	LSM-4039
DB00541	LSM-15607
DB00541	LSM-1672
DB00541	LSM-5877
DB00542	LSM-1336
DB00542	LSM-5609
DB00543	LSM-2021
DB00544	LSM-4261
DB00545	LSM-5770
DB00547	LSM-1602
DB00547	LSM-5448
DB00548	LSM-45550
DB00549	LSM-5792
DB00550	LSM-5592
DB00553	LSM-3410
DB00555	LSM-4104
DB00557	LSM-44962
DB00557	LSM-5103
