drugbank_id	hmdb_id
DB00678	HMDB0014816
DB00679	HMDB0014817
DB00680	HMDB0014818
DB00681	HMDB0014819
DB00682	HMDB0001935
DB00683	HMDB0014821
DB00684	HMDB0014822
DB00685	HMDB0014823
DB00686	HMDB0014824
DB00687	HMDB0014825
DB00688	HMDB0014826
DB00689	HMDB0014827
DB00690	HMDB0014828
DB00691	HMDB0014829
DB00692	HMDB0014830
DB00693	HMDB0014831
DB00694	HMDB0014832
DB00695	HMDB0001933
DB00696	HMDB0014834
DB00697	HMDB0014835
DB00697	HMDB0060964
DB00698	HMDB0014836
DB00699	HMDB0014837
DB00700	HMDB0014838
DB00701	HMDB0014839
DB00703	HMDB0014841
DB00704	HMDB0014842
DB00705	HMDB0014843
DB00706	HMDB0014844
DB00708	HMDB0014846
DB00709	HMDB0014847
DB00710	HMDB0014848
DB00711	HMDB0014849
DB00712	HMDB0014850
DB00713	HMDB0014851
DB00714	HMDB0014852
DB00715	HMDB0014853
DB00716	HMDB0014854
DB00717	HMDB0014855
DB00718	HMDB0014856
DB00719	HMDB0014857
DB00720	HMDB0014858
DB00721	HMDB0014859
DB00722	HMDB0001938
DB00723	HMDB0014861
DB00724	HMDB0014862
DB00725	HMDB0002500
DB00726	HMDB0014864
DB00727	HMDB0014865
DB00728	HMDB0014866
DB00730	HMDB0014868
DB00731	HMDB0014869
DB00732	HMDB0014870
DB00732	HMDB0240286
DB00733	HMDB0014871
DB00734	HMDB0005020
DB00735	HMDB0014873
DB00736	HMDB0001913
DB00736	HMDB0005009
DB00736	HMDB0014874
DB00737	HMDB0014875
DB00738	HMDB0014876
DB00739	HMDB0014877
DB00740	HMDB0014878
DB00741	HMDB0000063
DB00742	HMDB0000107
DB00742	HMDB0000247
DB00742	HMDB0000765
DB00742	HMDB0011632
DB00743	HMDB0240283
DB00744	HMDB0014882
DB00745	HMDB0014883
DB00746	HMDB0014884
DB00747	HMDB0003573
DB00748	HMDB0014886
DB00749	HMDB0014887
DB00750	HMDB0014888
DB00751	HMDB0014889
DB00752	HMDB0014890
DB00753	HMDB0014891
DB00754	HMDB0014892
DB00755	HMDB0001852
DB00755	HMDB0002369
DB00755	HMDB0006219
DB00755	HMDB0012874
DB00756	HMDB0014894
DB00757	HMDB0014895
DB00758	HMDB0005011
DB00759	HMDB0014897
DB00760	HMDB0014898
DB00761	HMDB0000492
DB00761	HMDB0000586
DB00761	HMDB0002306
DB00762	HMDB0014900
DB00763	HMDB0014901
DB00764	HMDB0014902
DB00765	HMDB0014903
DB00766	HMDB0014904
DB00767	HMDB0014905
DB00769	HMDB0014907
DB00770	HMDB0001442
DB00770	HMDB0004686
DB00771	HMDB0014909
DB00772	HMDB0014910
DB00773	HMDB0014911
DB00774	HMDB0014912
DB00775	HMDB0014913
DB00776	HMDB0014914
DB00777	HMDB0014915
DB00778	HMDB0014916
DB00779	HMDB0014917
DB00780	HMDB0014918
DB00781	HMDB0014919
DB00782	HMDB0014920
DB00783	HMDB0000151
DB00783	HMDB0000429
DB00784	HMDB0014922
DB00786	HMDB0014924
DB00787	HMDB0014925
DB00788	HMDB0001923
DB00789	HMDB0240278
DB00790	HMDB0014928
DB00791	HMDB0014929
DB00792	HMDB0014930
DB00793	HMDB0014931
DB00794	HMDB0014932
DB00795	HMDB0014933
DB00797	HMDB0014935
DB00798	HMDB0014936
DB00799	HMDB0014937
DB00800	HMDB0014938
DB00801	HMDB0014939
DB00802	HMDB0014940
DB00803	HMDB0014941
DB00804	HMDB0014942
DB00805	HMDB0014943
DB00806	HMDB0014944
DB00807	HMDB0014945
DB00808	HMDB0014946
DB00809	HMDB0014947
DB00810	HMDB0014948
DB00811	HMDB0014949
DB00812	HMDB0014950
DB00813	HMDB0014951
DB00814	HMDB0014952
DB00815	HMDB0000588
DB00816	HMDB0014954
DB00817	HMDB0014955
DB00818	HMDB0014956
DB00819	HMDB0014957
DB00820	HMDB0014958
DB00821	HMDB0014959
DB00822	HMDB0014960
DB00823	HMDB0014961
DB00824	HMDB0014962
DB00825	HMDB0003352
DB00825	HMDB0035763
DB00825	HMDB0035764
DB00825	HMDB0035765
DB00825	HMDB0041628
DB00826	HMDB0014964
DB00827	HMDB0014965
DB00828	HMDB0014966
DB00829	HMDB0014967
DB00830	HMDB0014968
DB00831	HMDB0014969
DB00832	HMDB0014970
DB00833	HMDB0014971
DB00834	HMDB0014972
DB00835	HMDB0001941
DB00835	HMDB0014549
DB00836	HMDB0004999
DB00838	HMDB0014976
DB00839	HMDB0014977
DB00841	HMDB0014979
DB00842	HMDB0014980
DB00842	HMDB0060975
DB00842	HMDB0061121
DB00843	HMDB0005041
DB00844	HMDB0014982
DB00845	HMDB0014983
DB00846	HMDB0014984
DB00847	HMDB0002991
DB00848	HMDB0014986
DB00849	HMDB0014987
DB00850	HMDB0014988
DB00851	HMDB0014989
DB00852	HMDB0001943
DB00852	HMDB0015451
DB00853	HMDB0014991
DB00854	HMDB0014992
DB00854	HMDB0060552
DB00855	HMDB0001149
DB00856	HMDB0014994
DB00857	HMDB0014995
DB00859	HMDB0014997
DB00860	HMDB0014998
DB00861	HMDB0014999
DB00862	HMDB0015000
DB00863	HMDB0001930
DB00864	HMDB0015002
DB00865	HMDB0015003
DB00866	HMDB0015004
DB00867	HMDB0015005
DB00868	HMDB0015006
DB00869	HMDB0015007
DB00870	HMDB0015008
DB00871	HMDB0015009
DB00872	HMDB0015010
DB00873	HMDB0015011
DB00874	HMDB0004998
DB00876	HMDB0015014
DB00877	HMDB0015015
DB00877	HMDB0127616
DB00878	HMDB0015016
DB00879	HMDB0015017
DB00880	HMDB0015018
DB00881	HMDB0015019
DB00882	HMDB0015020
DB00883	HMDB0015021
DB00884	HMDB0015022
DB00885	HMDB0015023
DB00887	HMDB0015024
DB00888	HMDB0015025
DB00889	HMDB0015026
DB00890	HMDB0015027
DB00891	HMDB0015028
DB00892	HMDB0015029
DB00894	HMDB0015031
DB00895	HMDB0000182
DB00895	HMDB0003405
DB00895	HMDB0062809
DB00895	HMDB0142894
DB00896	HMDB0015033
DB00897	HMDB0015034
DB00898	HMDB0000108
DB00899	HMDB0015036
DB00900	HMDB0015037
DB00902	HMDB0015038
DB00903	HMDB0015039
DB00904	HMDB0005035
DB00905	HMDB0015041
DB00906	HMDB0015042
DB00907	HMDB0015043
DB00908	HMDB0014611
DB00908	HMDB0015044
DB00909	HMDB0015045
DB00910	HMDB0015046
DB00911	HMDB0015047
DB00912	HMDB0015048
DB00913	HMDB0015049
DB00914	HMDB0015050
DB00915	HMDB0015051
DB00916	HMDB0015052
DB00917	HMDB0001220
DB00917	HMDB0005844
DB00917	HMDB0060041
DB00918	HMDB0015054
DB00919	HMDB0015055
DB00920	HMDB0015056
DB00921	HMDB0015057
DB00922	HMDB0015058
DB00923	HMDB0015059
DB00924	HMDB0015060
DB00925	HMDB0015061
DB00927	HMDB0001919
DB00928	HMDB0015063
DB00929	HMDB0015064
DB00933	HMDB0015068
DB00934	HMDB0015069
DB00935	HMDB0015070
DB00936	HMDB0001895
DB00937	HMDB0015072
DB00938	HMDB0015073
DB00939	HMDB0015074
DB00940	HMDB0015075
DB00942	HMDB0015077
DB00943	HMDB0015078
DB00944	HMDB0015079
DB00945	HMDB0001879
DB00946	HMDB0015081
DB00947	HMDB0015082
DB00948	HMDB0015083
DB00949	HMDB0015084
DB00950	HMDB0005030
DB00951	HMDB0015086
DB00952	HMDB0015087
DB00953	HMDB0015088
DB00954	HMDB0015089
