drugbank_id	brenda_id
DB00443	48978
DB00443	48979
DB00444	12703
DB00444	92456
DB00445	2134
DB00445	32211
DB00445	49017
DB00445	832
DB00446	139482
DB00446	48899
DB00446	48900
DB00446	955
DB00447	12808
DB00448	4413
DB00450	217393
DB00451	1380
DB00451	174815
DB00451	22220
DB00451	3235
DB00451	52934
DB00451	86895
DB00452	1591
DB00452	2279
DB00452	46349
DB00452	5585
DB00452	66114
DB00454	148401
DB00454	44018
DB00454	5014
DB00455	122950
DB00455	125889
DB00455	127070
DB00455	23329
DB00456	19396
DB00456	3122
DB00456	354
DB00456	3926
DB00456	7661
DB00457	145065
DB00457	145979
DB00457	167772
DB00458	1618
DB00458	75631
DB00459	145043
DB00459	145956
DB00459	31766
DB00461	18650
DB00461	192934
DB00462	105606
DB00462	105607
DB00462	332
DB00462	4628
DB00462	89457
DB00462	905
DB00464	135834
DB00464	1602
DB00464	202160
DB00464	202693
DB00464	202694
DB00464	208282
DB00464	208283
DB00464	208284
DB00464	208285
DB00464	2375
DB00464	48042
DB00464	48043
DB00464	59
DB00465	122879
DB00467	9708
DB00468	145069
DB00468	145983
DB00468	2219
DB00468	4861
DB00469	14660
DB00470	117409
DB00470	135425
DB00472	145052
DB00472	145965
DB00472	4645
DB00472	75640
DB00475	20183
DB00477	113197
DB00477	145046
DB00477	145960
DB00477	162818
DB00477	38944
DB00477	6497
DB00477	727
DB00477	74854
DB00477	75626
DB00479	1394
DB00481	4142
DB00481	78064
DB00482	153386
DB00482	154370
DB00482	1809
DB00482	69450
DB00482	83080
DB00483	16451
DB00483	31464
DB00483	507
DB00483	636
DB00484	105613
DB00484	215760
DB00485	93173
DB00487	30323
DB00489	114658
DB00490	145045
DB00490	145959
DB00490	167768
DB00491	209256
DB00491	3392
DB00492	25036
DB00493	13904
DB00493	153384
DB00493	154368
DB00493	417
DB00494	17740
DB00495	1185
DB00495	19716
DB00495	210376
DB00495	23308
DB00495	29429
DB00495	4954
DB00495	89088
DB00498	94711
DB00499	37969
DB00500	20544
DB00501	204960
DB00501	5306
DB00502	3539
DB00502	75627
DB00502	78069
DB00503	133918
DB00503	134732
DB00503	160172
DB00503	33326
DB00503	52305
DB00503	60913
DB00504	44367
DB00507	25107
DB00508	142792
DB00508	151912
DB00508	38943
DB00508	6695
DB00509	1380
DB00509	174815
DB00509	22220
DB00509	3235
DB00509	52934
DB00509	86895
DB00512	195531
DB00512	2101
DB00513	113362
DB00513	120669
DB00513	155197
DB00513	20060
DB00513	2718
DB00513	2822
DB00513	29626
DB00513	29627
DB00513	31313
DB00513	35816
DB00513	44105
DB00513	5542
DB00513	93331
DB00513	93332
DB00514	147737
DB00514	24585
DB00515	111979
DB00515	129850
DB00515	1397
DB00515	141
DB00515	153393
DB00515	154377
DB00515	227157
DB00515	27
DB00515	298
DB00515	32179
DB00515	32180
DB00515	4224
DB00515	44742
DB00515	48173
DB00515	54
DB00515	753
DB00515	768
DB00515	93648
DB00517	105606
DB00517	105607
DB00517	332
DB00517	4628
DB00517	905
DB00518	143835
DB00518	3447
DB00519	25040
DB00520	36384
DB00520	6868
DB00522	207591
DB00523	10467
DB00523	12679
DB00523	193381
DB00523	21231
DB00523	2354
DB00523	32017
DB00523	32134
DB00523	5126
DB00523	62226
DB00523	6481
DB00523	71524
DB00523	9774
DB00525	109657
DB00526	106026
DB00526	107828
DB00526	185
DB00526	2093
DB00526	44742
DB00527	29933
DB00527	43929
DB00528	196829
DB00529	12659
DB00529	44136
DB00529	6580
DB00530	127378
DB00530	50296
DB00530	6877
DB00531	13807
DB00532	109149
DB00532	21704
DB00533	69449
DB00533	8711
DB00534	111979
DB00534	141
DB00534	1756
DB00534	227157
DB00534	298
DB00534	32179
DB00534	32180
DB00534	768
DB00534	93648
DB00535	37963
DB00536	118944
DB00536	132664
DB00536	2023
DB00536	33832
DB00536	93566
DB00537	1229
DB00538	151892
DB00538	15765
DB00540	11504
DB00540	145062
DB00540	145976
DB00540	75635
DB00541	153454
DB00541	154444
DB00541	21719
DB00541	49472
DB00541	6613
DB00542	13053
DB00542	159766
DB00544	155282
DB00544	51649
DB00544	812
DB00545	35445
DB00545	6250
DB00548	120742
DB00548	3328
DB00550	151046
DB00550	4773
DB00550	68962
DB00551	111363
DB00551	124278
DB00551	3981
DB00551	4496
DB00551	47787
DB00551	49881
DB00551	83689
DB00551	9542
DB00552	35853
DB00552	43123
DB00552	5090
DB00552	5147
DB00552	5440
DB00553	144111
DB00553	30509
DB00553	7629
DB00554	4121
DB00555	169768
DB00555	7741
DB00557	145054
DB00557	145968
DB00557	146702
DB00558	2693
DB00560	135995
DB00563	132028
DB00563	138514
DB00563	213857
DB00563	220748
DB00563	241
DB00563	3613
DB00563	39751
DB00563	49198
DB00563	7833
DB00563	91627
DB00563	9550
DB00564	151031
DB00564	7452
DB00564	75637
DB00566	33856
DB00566	93207
DB00567	1026
DB00567	159775
DB00569	117819
DB00569	159945
DB00569	167802
DB00570	125884
DB00570	127062
DB00570	32422
DB00570	38815
DB00570	6745
DB00571	115533
DB00571	138909
DB00571	209021
DB00571	27228
DB00571	27229
DB00571	3905
DB00571	45500
DB00571	5606
DB00571	66047
DB00572	10695
DB00572	165946
