drugbank_id	emolecules_id
DB00141	31264524
DB00141	36788771
DB00141	36788870
DB00141	7587350
DB00141	8294254
DB00141	902159
DB00142	26753314
DB00142	26753635
DB00142	26755734
DB00142	26757785
DB00142	28218191
DB00142	29491177
DB00142	477277
DB00142	498263
DB00142	514405
DB00143	26756622
DB00143	26988180
DB00143	515159
DB00143	747254
DB00145	27515040
DB00145	29486704
DB00145	29487368
DB00145	29536562
DB00145	29536626
DB00145	29536707
DB00145	29537283
DB00145	483675
DB00145	485476
DB00146	26757829
DB00146	27678203
DB00146	29935587
DB00146	30152230
DB00146	30154404
DB00146	31240774
DB00146	485911
DB00147	1012333
DB00147	23049375
DB00147	30154453
DB00147	493579
DB00148	494174
DB00149	25690830
DB00149	26755895
DB00149	26756750
DB00149	29491130
DB00149	499483
DB00149	514488
DB00149	514646
DB00150	26754365
DB00150	26755894
DB00150	27524628
DB00150	36759615
DB00150	36759616
DB00150	484485
DB00150	533030
DB00150	533034
DB00151	26756231
DB00151	26756923
DB00151	36757526
DB00151	484930
DB00151	496036
DB00151	505558
DB00152	1180877
DB00153	1971432
DB00153	25692850
DB00153	27677728
DB00153	28205795
DB00153	29541226
DB00153	29550318
DB00153	30152066
DB00153	30512871
DB00153	36787959
DB00153	8293829
DB00154	1986493
DB00154	509170
DB00155	1954524
DB00155	26751900
DB00155	28294744
DB00155	493823
DB00155	884088
DB00156	26755583
DB00156	26756591
DB00156	26756924
DB00156	476211
DB00156	476213
DB00156	532410
DB00156	532412
DB00156	594831
DB00158	1986886
DB00158	27678078
DB00158	29563448
DB00158	31230473
DB00158	36753205
DB00158	36758208
DB00158	36758209
DB00158	474902
DB00158	5748014
DB00158	884420
DB00158	984032
DB00159	1986690
DB00159	23121918
DB00159	27344987
DB00159	27677967
DB00159	509162
DB00160	25690699
DB00160	26752921
DB00160	26752963
DB00160	26757064
DB00160	29491134
DB00160	29491136
DB00160	29535940
DB00160	29535973
DB00160	29536015
DB00160	29536691
DB00160	29537333
DB00160	476060
DB00160	476062
DB00160	476064
DB00160	6875727
DB00161	26753416
DB00161	26756180
DB00161	29535819
DB00161	29537107
DB00161	514157
DB00161	514495
DB00161	531535
DB00162	27523754
DB00162	31240495
DB00162	36759343
DB00162	36759346
DB00162	485716
DB00162	6760397
DB00163	29542088
DB00163	31228143
DB00163	4775191
DB00163	492301
DB00163	532461
DB00165	31231588
DB00165	593675
DB00166	10678602
DB00166	27521539
DB00166	36554245
DB00166	523380
DB00166	524889
DB00167	26749687
DB00167	36366209
DB00167	476203
DB00167	476205
DB00167	495885
DB00167	523639
DB00167	711638
DB00169	17498063
DB00169	1986152
DB00169	25692852
DB00169	27524717
DB00169	27678788
DB00169	28205807
DB00169	30151824
DB00169	30513009
DB00169	31240499
DB00169	36730093
DB00169	8293841
DB00170	27678330
DB00170	31593416
DB00170	513358
DB00171	15321033
DB00171	1934325
DB00171	31240510
DB00172	26753695
DB00172	26756743
DB00172	27515076
DB00172	36759286
DB00172	484372
DB00172	524642
DB00172	531105
DB00173	27677487
DB00173	474936
DB00173	533977
DB00174	26756630
DB00174	26757377
DB00174	27677620
DB00174	478690
DB00174	478692
DB00174	478704
DB00175	26941599
DB00175	26988520
DB00175	27254717
DB00175	30487914
DB00175	31589980
DB00175	36500400
DB00175	36754464
DB00175	36754468
DB00175	36754470
DB00175	3716196
DB00175	6718988
DB00176	18594576
DB00176	27520238
DB00176	31226121
DB00176	901912
DB00177	1989469
DB00177	2724803
DB00177	31231957
DB00177	32278148
DB00177	33507560
DB00177	36096487
DB00177	36754936
DB00178	27523668
DB00178	31411065
DB00178	32278144
DB00178	594013
DB00179	530023
DB00180	30316176
DB00180	30513027
DB00180	36367079
DB00180	36553068
DB00180	538390
DB00181	27516504
DB00181	29547173
DB00181	29702871
DB00181	31660870
DB00181	535235
DB00181	538545
DB00181	538547
DB00182	3715846
DB00182	524658
DB00182	6842827
DB00183	534975
DB00184	26753121
DB00184	27522710
DB00184	27522711
DB00184	27522712
DB00184	27522713
DB00184	29936321
DB00184	501591
DB00184	529638
DB00184	884181
DB00185	29934602
DB00185	30154406
DB00185	30154408
DB00185	31225142
DB00185	32234213
DB00185	36516961
DB00186	27521565
DB00186	31592961
DB00186	552192
DB00187	537978
DB00187	901849
DB00188	10448963
DB00188	29934400
DB00188	29934401
DB00188	30474990
DB00190	1985936
DB00190	27517707
DB00190	29534104
DB00190	535771
DB00190	5753624
DB00190	901514
DB00191	1846375
DB00191	31502662
DB00191	593858
DB00193	31228173
DB00193	35864603
DB00193	36754789
DB00193	902608
DB00194	26940261
DB00194	29547017
DB00194	30082135
DB00194	32217949
DB00194	32232621
DB00194	36756826
DB00194	474938
DB00194	474947
DB00194	4927665
DB00194	534228
DB00195	27517000
DB00195	27677666
DB00195	535239
DB00195	901469
DB00196	27520110
DB00196	36096491
DB00196	877450
DB00197	35999400
DB00197	594751
DB00198	26983432
DB00198	2736796
DB00198	29935179
DB00198	29936362
DB00198	32277673
DB00198	32277674
DB00198	6843587
DB00199	1986743
DB00199	26422403
DB00199	26752387
DB00199	2725491
DB00199	2725679
DB00199	27519710
DB00199	28204922
DB00199	29917758
DB00199	31240352
DB00199	32175930
DB00199	32278115
DB00199	36753056
DB00199	36788821
DB00199	6842882
DB00199	713390
DB00200	27515055
DB00200	32278119
DB00200	479530
DB00200	483017
DB00200	6877885
DB00201	26753444
DB00201	27517656
DB00201	493944
DB00202	27523979
