drugbank_id	chemicalbook_id
DB00679	CB4256836
DB00679	CB6763367
DB00680	CB4493310
DB00681	CB3425912
DB00682	CB7267099
DB00682	CB7346095
DB00682	CB9771837
DB00683	CB0418580
DB00683	CB4174637
DB00683	CB5285259
DB00684	CB6678801
DB00684	CB7154445
DB00687	CB7170706
DB00688	CB2663335
DB00688	CB5663336
DB00691	CB6500845
DB00691	CB9338696
DB00692	CB5708736
DB00692	CB6665216
DB00693	CB7753558
DB00694	CB0338996
DB00694	CB7113022
DB00695	CB03386543
DB00695	CB2445739
DB00696	CB9279489
DB00697	CB8480703
DB00697	CB9670538
DB00698	CB7346080
DB00698	CB91075428
DB00699	CB9728301
DB00701	CB4186139
DB00703	CB6150374
DB00704	CB9394737
DB00705	CB8292151
DB00706	CB22675761
DB00706	CB3128875
DB00706	CB3410080
DB00706	CB61175411
DB00706	CB81073674
DB00709	CB1290608
DB00709	CB52544853
DB00709	CB82545053
DB00710	CB31261504
DB00710	CB4286017
DB00710	CB4500836
DB00711	CB5326262
DB00711	CB9243620
DB00712	CB7465967
DB00712	CB8302496
DB00713	CB6278850
DB00713	CB9278851
DB00714	CB3447114
DB00715	CB1178023
DB00715	CB3500521
DB00715	CB5178021
DB00715	CB8178022
DB00717	CB0455127
DB00718	CB6237644
DB00719	CB21032244
DB00720	CB0318011
DB00720	CB0743602
DB00720	CB43040267
DB00721	CB0731029
DB00721	CB6853707
DB00721	CB9296712
DB00722	CB23375916
DB00722	CB3113756
DB00722	CB6117715
DB00723	CB1380846
DB00724	CB2664655
DB00724	CB9257146
DB00725	CB4405362
DB00725	CB6502511
DB00725	CB6852573
DB00725	CB9114740
DB00726	CB4490399
DB00727	CB2145318
DB00728	CB2222507
DB00730	CB1685813
DB00731	CB51270357
DB00731	CB91270289
DB00731	CB9472923
DB00732	CB4668758
DB00732	CB62130242
DB00732	CB7855410
DB00732	CB9379882
DB00732	CB9885903
DB00733	CB6396710
DB00733	CB8417130
DB00734	CB41565182
DB00734	CB63154711
DB00734	CB9131730
DB00735	CB5211922
DB00735	CB6349312
DB00736	CB5160491
DB00736	CB6740618
DB00736	CB8160492
DB00737	CB1501443
DB00737	CB2753083
DB00737	CB9362486
DB00738	CB4476092
DB00738	CB5101632
DB00740	CB3353226
DB00741	CB42674445
DB00741	CB8393647
DB00741	CB9756715
DB00742	CB01260814
DB00742	CB1450189
DB00742	CB4683502
DB00742	CB4720971
DB00742	CB5174210
DB00742	CB5309494
DB00742	CB7183649
DB00742	CB7720972
DB00744	CB1344903
DB00746	CB4372020
DB00746	CB8506290
DB00747	CB4160045
DB00747	CB7311132
DB00747	CB9363236
DB00747	CB9766723
DB00747	CB9875364
