drugbank_id	kegg_ligand_id
DB00766	C11833
DB00770	C04741
DB00770	C13548
DB00771	C07853
DB00772	C07497
DB00773	C01576
DB00774	C07763
DB00775	C07965
DB00776	C07492
DB00777	C07384
DB00777	C07405
DB00778	C13173
DB00779	C05079
DB00780	C07430
DB00780	C07431
DB00782	C07506
DB00782	C11762
DB00783	C00951
DB00783	C02537
DB00784	C02168
DB00787	C06810
DB00788	C01517
DB00790	C07706
DB00790	C07707
DB00791	C11686
DB00792	C07180
DB00794	C07371
DB00795	C07316
DB00797	C07147
DB00798	C07656
DB00799	C12531
DB00800	C07693
DB00802	C08005
DB00804	C06951
DB00806	C07424
DB00807	C07383
DB00810	C07941
DB00812	C07440
DB00814	C08169
DB00815	C01330
DB00815	C11166
DB00816	C07144
DB00818	C07523
DB00819	C06805
DB00821	C18364
DB00822	C01692
DB00825	C00400
DB00825	C00553
DB00826	C08073
DB00827	C08052
DB00828	C06454
DB00828	C13964
DB00829	C06948
DB00830	C07432
DB00830	C07433
DB00831	C07168
DB00832	C07437
DB00833	C06877
DB00834	C07652
DB00835	C06857
DB00836	C07080
DB00841	C06967
DB00842	C07359
DB00844	C07251
DB00845	C06915
DB00847	C01678
DB00848	C07070
DB00848	C07906
DB00848	C11337
DB00849	C07829
DB00850	C07427
DB00850	C13540
DB00851	C06936
DB00852	C01575
DB00852	C02765
DB00854	C08014
DB00855	C00430
DB00856	C07928
DB00857	C08079
DB00859	C07418
DB00860	C07369
DB00861	C01691
DB00864	C01375
DB00865	C07538
DB00867	C07239
DB00869	C06969
DB00870	C07320
DB00871	C07129
DB00875	C11191
DB00877	C07909
DB00878	C06902
DB00879	C12599
DB00880	C07461
DB00881	C07340
DB00881	C07398
DB00882	C06917
DB00882	C08161
DB00883	C07456
DB00884	C08233
DB00888	C07115
DB00889	C07023
DB00890	C08090
DB00894	C02197
DB00895	C00047
DB00895	C00739
DB00895	C16440
DB00898	C00469
DB00899	C08021
DB00900	C06953
DB00901	C06853
DB00902	C07175
DB00904	C07325
DB00906	C07503
DB00908	C06526
DB00908	C06527
DB00909	C07504
DB00910	C08127
DB00912	C07670
DB00914	C07673
DB00915	C06818
DB00916	C07203
DB00917	C00584
DB00919	C02078
DB00919	C11619
DB00921	C08007
DB00923	C06884
DB00924	C06931
DB00925	C07435
DB00925	C07436
DB00928	C11262
DB00931	C07654
DB00931	C08029
DB00933	C07143
DB00934	C07107
DB00935	C07363
DB00936	C00805
DB00937	C06954
DB00938	C07241
DB00939	C02996
DB00939	C07117
DB00940	C07849
DB00943	C07207
DB00945	C01405
DB00948	C07221
DB00949	C07501
DB00950	C06999
DB00951	C07054
DB00952	C07792
DB00955	C07657
DB00956	C08024
DB00958	C00014
DB00958	C01342
DB00960	C07445
DB00961	C07528
DB00962	C07484
DB00964	C07668
DB00966	C07710
DB00968	C07194
DB00970	C06770
DB00972	C07768
DB00974	C00284
DB00978	C07078
DB00978	C08053
DB00979	C06932
DB00981	C06535
DB00982	C00777
DB00982	C15493
DB00983	C07805
DB00984	C08155
DB00985	C06960
DB00987	C00475
DB00987	C02961
DB00988	C03758
DB00989	C11766
DB00991	C07356
DB00993	C06837
DB00997	C01661
DB00997	C11230
DB00999	C07041
DB01000	C12766
DB01001	C11770
DB01002	C07529
DB01002	C07887
DB01003	C06928
DB01005	C07044
DB01006	C08163
DB01007	C08082
DB01008	C06862
DB01009	C01716
DB01010	C06976
DB01011	C07205
DB01015	C07315
DB01018	C07037
DB01019	C06850
DB01019	C08202
DB01020	C07714
DB01021	C07767
DB01022	C02059
DB01028	C07517
DB01029	C07469
DB01030	C11158
DB01031	C07832
DB01033	C01756
DB01033	C02380
DB01034	C12058
DB01035	C07401
DB01037	C07245
DB01041	C07910
DB01042	C07122
DB01042	C19256
DB01042	C19442
DB01043	C13736
DB01044	C07661
DB01045	C06688
DB01046	C13707
DB01050	C01588
DB01051	C05080
DB01051	C12609
DB01053	C05551
DB01054	C07713
DB01056	C07142
DB01057	C06975
DB01058	C07367
DB01059	C06687
DB01060	C06827
DB01061	C06839
DB01062	C07360
DB01064	C07056
DB01064	C11703
DB01069	C07404
DB01070	C06957
DB01071	C12755
DB01075	C06960
DB01076	C06834
DB01077	C07736
DB01080	C07500
DB01081	C07872
DB01082	C00413
DB01084	C07785
DB01085	C07474
DB01086	C07527
DB01087	C07627
DB01089	C06541
DB01091	C08067
DB01091	C12490
DB01092	C01443
DB01093	C11143
DB01094	C01709
DB01096	C07341
DB01097	C07905
DB01100	C07566
DB01101	C12650
DB01103	C07339
DB01104	C07246
DB01105	C07247
DB01108	C12580
DB01110	C08070
DB01112	C06894
DB01112	C08108
DB01113	C06533
DB01114	C06905
DB01114	C06946
DB01114	C07780
DB01114	C07783
DB01115	C07266
DB01116	C07174
DB01117	C06835
DB01118	C06823
DB01119	C06949
DB01121	C07428
DB01122	C07773
DB01123	C11181
DB01123	C11273
DB01124	C07148
DB01127	C08068
DB01127	C08069
DB01128	C08160
DB01129	C07864
DB01131	C07631
DB01132	C07675
DB01133	C08141
DB01135	C07549
DB01136	C06875
DB01137	C07321
DB01137	C07660
DB01138	C07317
DB01139	C06896
DB01139	C08101
DB01140	C06878
DB01141	C15819
DB01142	C06971
DB01143	C06819
DB01144	C07459
DB01147	C06923
DB01147	C14010
DB01148	C07809
DB01149	C07256
DB01150	C06888
DB01151	C06943
DB01154	C07846
DB01156	C06860
DB01157	C11154
DB01158	C06855
DB01159	C07515
DB01160	C00639
DB01160	C02314
DB01160	C05959
DB01160	C07182
DB01160	C12786
DB01160	C13809
DB01161	C07877
DB01162	C07127
DB01164	C00076
DB01164	C00698
DB01164	C01327
DB01164	C08130
DB01165	C07321
DB01165	C07660
DB01168	C07376
DB01168	C07402
DB01170	C07036
DB01172	C01822
DB01172	C08046
DB01173	C07935
DB01174	C07434
DB01175	C07572
DB01176	C06930
DB01179	C10871
DB01179	C10874
DB01180	C06540
DB01181	C07047
DB01182	C07381
DB01183	C07252
DB01186	C07425
DB01189	C07519
DB01190	C06914
DB01190	C13684
DB01191	C06996
DB01192	C08019
DB01193	C06803
DB01193	C07677
DB01194	C07760
DB01195	C07001
DB01196	C11228
DB01199	C07547
DB01200	C06856
DB01201	C08059
DB01202	C07841
DB01204	C11195
DB01205	C07825
DB01206	C07079
DB01208	C07662
DB01209	C08010
DB01210	C04883
DB01210	C07914
DB01210	C08228
DB01211	C06912
DB01212	C06683
DB01213	C07837
DB01214	C07915
DB01214	C13591
DB01215	C06981
DB01217	C08159
DB01218	C07634
DB01219	C06939
DB01219	C07933
DB01221	C07525
DB01221	C07843
DB01223	C07130
DB01224	C07397
DB01226	C07550
DB01227	C08012
DB01228	C06978
DB01229	C07394
DB01230	C07899
DB01231	C06961
DB01232	C12560
DB01233	C07868
DB01234	C15643
DB01235	C00355
DB01236	C07520
DB01238	C12564
DB01239	C07953
DB01241	C07020
DB01242	C06918
DB01244	C06847
DB01245	C11733
DB01246	C07172
DB01248	C11231
DB01250	C07323
DB01252	C13326
DB01253	C07543
DB01265	C00214
DB01274	C07805
DB01275	C07040
DB01282	C18365
DB01284	C06926
DB01291	C07807
DB01294	C00001
DB01294	C00805
DB01294	C01328
DB01294	C07870
DB01296	C00329
DB01296	C02262
DB01296	C03570
DB01296	C08349
DB01297	C11696
DB01299	C07630
DB01301	C12933
DB01303	C00114
DB01320	C07840
DB01321	C12662
DB01322	C07611
DB01324	C07766
DB01325	C07342
DB01326	C06879
DB01326	C13968
DB01327	C06880
DB01328	C06882
DB01328	C08105
DB01329	C06883
DB01329	C08112
DB01330	C06886
DB01330	C14007
DB01331	C06887
DB01331	C08106
DB01332	C06890
DB01332	C08118
DB01333	C06897
DB01336	C07919
DB01337	C07551
DB01338	C07554
DB01339	C07553
DB01345	C00238
DB01346	C06526
DB01346	C06527
DB01346	C07434
DB01351	C07536
DB01352	C07826
DB01354	C17725
DB01355	C11723
DB01357	C07618
DB01359	C07416
DB01364	C01575
DB01364	C02765
DB01365	C07889
DB01366	C13235
DB01369	C08032
DB01369	C08034
DB01375	C00001
DB01375	C01328
DB01377	C00305
DB01377	C12567
DB01378	C00305
DB01380	C08173
DB01384	C07413
DB01388	C07222
DB01390	C00288
DB01390	C01330
DB01390	C01353
DB01390	C12603
DB01392	C09256
DB01394	C07592
DB01396	C06955
DB01397	C00305
DB01397	C00805
DB01397	C07995
DB01400	C07258
DB01400	C08197
DB01400	C08200
DB01401	C00114
DB01401	C00305
DB01401	C00805
DB01403	C07192
DB01412	C07480
DB01413	C08111
DB01413	C12557
DB01414	C12691
DB01415	C08117
DB01416	C08114
DB01420	C08158
DB01421	C00832
DB01421	C17712
DB01424	C07539
DB01426	C06542
DB01426	C09217
DB01427	C13594
DB01428	C14285
DB01431	C12811
DB01433	C08012
DB01434	C14500
DB01435	C13244
DB01437	C07489
DB01438	C07429
DB01440	C00989
DB01440	C01991
DB01445	C08299
DB01452	C06534
DB01454	C07577
DB01466	C07537
DB01471	C14475
DB01477	C01324
DB01477	C13645
DB01479	C15376
DB01481	C15377
DB01486	C02343
DB01486	C07911
DB01486	C08300
DB01486	C16719
DB01488	C08302
DB01494	C00719
DB01494	C06899
DB01495	C06899
DB01495	C13244
DB01497	C11793
DB01501	C07871
DB01513	C15376
DB01515	C10847
DB01522	C08012
DB01524	C04295
DB01525	C10858
DB01525	C12449
DB01526	C14210
DB01530	C03051
DB01530	C03852
DB01530	C07632
DB01530	C12525
DB01536	C00280
DB01541	C14502
DB01548	C11794
DB01555	C08012
DB01556	C07559
DB01560	C08301
DB01561	C00674
DB01561	C03772
DB01563	C06899
DB01564	C14475
DB01565	C11782
DB01574	C00001
DB01574	C00305
DB01574	C01328
DB01575	C00001
DB01575	C01328
DB01576	C07514
DB01576	C07884
DB01577	C07164
DB01579	C07904
DB01582	C19530
DB01583	C01330
DB01583	C01829
DB01583	C02465
DB01583	C08212
DB01586	C02528
DB01586	C07880
DB01586	C17660
DB01586	C17662
DB01586	C17664
DB01588	C07366
DB01589	C07336
DB01592	C00023
DB01595	C07487
DB01597	C01675
DB01598	C06665
DB01599	C07373
DB01601	C12871
DB01602	C08122
DB01602	C08123
DB01603	C07177
DB01603	C13973
DB01604	C11750
DB01606	C07771
DB01607	C07139
DB01607	C14021
DB01611	C07043
DB01618	C07230
DB01619	C07790
DB01620	C12574
DB01625	C07055
DB01626	C07414
DB01627	C06812
DB01627	C14002
DB01628	C11718
DB01629	C16633
DB01632	C00119
DB01638	C00392
DB01638	C00794
DB01638	C01489
DB01638	C01507
DB01638	C01697
DB01638	C01722
DB01642	C03619
DB01643	C00364
DB01645	C06563
DB01646	C02712
DB01650	C01772
DB01650	C05838
DB01652	C02949
DB01655	C00345
DB01661	C02739
DB01669	C11299
DB01671	C00001
DB01671	C00985
DB01671	C01328
DB01671	C03444
DB01672	C00196
DB01673	C01212
DB01675	C03460
DB01676	C16391
DB01677	C00122
DB01677	C01384
DB01683	C11308
DB01686	C03626
DB01687	C00185
DB01687	C00208
DB01687	C00243
DB01687	C00897
DB01687	C01970
DB01687	C01971
DB01687	C02964
DB01687	C06421
DB01687	C06422
DB01688	C01468
DB01690	C06197
DB01692	C00265
DB01692	C00950
DB01694	C00552
DB01694	C00898
DB01694	C02107
DB01697	C00420
DB01697	C00551
DB01697	C01835
DB01697	C06219
DB01698	C05625
DB01700	C04677
DB01701	C19034
DB01702	C01161
DB01703	C00023
DB01708	C01227
DB01709	C00631
DB01713	C00190
DB01713	C00935
DB01714	C02728
DB01715	C01037
DB01717	C04058
DB01726	C01987
DB01727	C00311
DB01727	C00451
DB01727	C04617
DB01729	C01243
DB01729	C01245
DB01733	C19156
DB01735	C02634
DB01735	C02635
DB01738	C00346
DB01739	C00407
DB01739	C06418
DB01739	C16434
DB01744	C00808
DB01744	C00809
DB01744	C18369
DB01746	C00123
DB01746	C01570
DB01746	C16439
DB01747	C14819
DB01750	C13014
DB01750	C18534
DB01752	C00021
DB01756	C03393
DB01758	C02515
DB01759	C14516
DB01762	C00164
DB01764	C08033
DB01764	C08034
DB01774	C00498
DB01774	C06192
DB01775	C00184
DB01776	C01467
DB01779	C02979
DB01779	C12935
DB01783	C00864
DB01785	C00235
DB01786	C00041
DB01786	C00133
DB01786	C01401
DB01794	C00305
DB01794	C05924
DB01795	C16200
DB01796	C03722
DB01811	C05578
DB01812	C00054
DB01816	C02256
DB01819	C00074
DB01822	C01119
DB01822	C06484
DB01828	C00218
DB01833	C00308
DB01837	C00979
DB01839	C00583
DB01839	C02912
DB01839	C02917
DB01844	C03134
DB01849	C00429
DB01852	C05903
DB01853	C00305
DB01853	C11242
DB01856	C02656
DB01857	C03082
DB01859	C11436
DB01861	C00029
DB01861	C00052
DB01863	C01272
DB01864	C01806
DB01872	C03953
DB01872	C16265
DB01873	C12039
DB01874	C00783
DB01878	C06354
DB01880	C01197
DB01880	C01481
DB01885	C00198
DB01885	C02669
DB01885	C02692
DB01892	C07608
DB01909	C13548
DB01912	C00698
DB01912	C01327
DB01914	C01662
DB01917	C00134
DB01917	C02896
DB01923	C00199
DB01923	C00231
DB01923	C01101
DB01923	C03291
DB01930	C00522
DB01936	C00121
DB01936	C01510
DB01936	C06115
DB01936	C16639
DB01941	C15640
DB01942	C00058
DB01956	C00245
DB01957	C14270
DB01961	C05822
DB01962	C06501
DB01971	C00785
DB01972	C00144
DB01979	C03619
DB01982	C00191
DB01982	C00333
DB01982	C02024
DB01982	C06472
DB01982	C06477
DB01982	C08348
DB01982	C08350
DB01987	C00068
DB01990	C18043
DB01992	C00010
DB02007	C00092
DB02007	C00275
DB02007	C00668
DB02007	C01113
DB02007	C01172
DB02007	C02962
DB02007	C02965
DB02007	C03735
DB02010	C02079
DB02013	C00001
DB02013	C00023
DB02013	C01328
DB02015	C00415
DB02022	C01279
DB02024	C05629
DB02025	C05556
DB02030	C04778
DB02031	C00101
DB02034	C10173
DB02053	C01112
DB02053	C06814
DB02056	C00696
DB02057	C13672
DB02059	C00301
DB02060	C00414
DB02061	C00185
DB02061	C00208
DB02061	C00243
DB02061	C00897
DB02061	C01970
DB02061	C01971
DB02061	C02964
DB02061	C06421
DB02061	C06422
DB02068	C00431
DB02070	C00328
DB02070	C01718
DB02073	C00500
DB02074	C01771
DB02076	C00345
DB02083	C01026
DB02085	C01234
DB02092	C15441
DB02095	C11129
DB02097	C00475
DB02097	C02961
DB02098	C03850
DB02100	C03619
DB02115	C10216
DB02119	C01300
DB02123	C05466
DB02129	C00337
DB02130	C06672
DB02133	C00305
DB02134	C00385
DB02137	C05924
DB02142	C00647
DB02144	C13888
DB02145	C06142
DB02153	C00606
DB02156	C05528
DB02159	C00583
DB02159	C02912
DB02159	C02917
DB02161	C07814
DB02163	C18993
DB02165	C00001
DB02165	C01328
DB02169	C01945
DB02172	C10143
DB02174	C00064
DB02174	C00303
DB02174	C00819
DB02175	C00383
DB02175	C02028
DB02175	C04025
DB02176	C00033
DB02176	C00703
DB02178	C00601
DB02180	C02593
DB02181	C00286
DB02184	C00265
DB02184	C00950
DB02185	C04720
DB02186	C04132
DB02186	C04255
DB02187	C14392
DB02190	C05379
DB02192	C05853
DB02196	C00043
DB02196	C00203
DB02196	C01170
DB02201	C00383
DB02201	C02028
DB02201	C04025
DB02203	C02659
DB02205	C09267
DB02209	C00627
DB02224	C01617
DB02224	C12316
DB02232	C00090
DB02232	C15571
DB02235	C02989
DB02235	C15998
DB02235	C15999
DB02236	C03838
DB02238	C01180
DB02249	C14687
DB02251	C02730
DB02256	C00526
DB02262	C00295
DB02263	C00118
DB02263	C00661
DB02264	C03126
DB02266	C13038
DB02267	C03406
DB02272	C00931
DB02274	C01092
DB02279	C02137
DB02280	C01983
DB02280	C01984
DB02282	C00170
DB02285	C02191
DB02289	C00872
DB02296	C07328
DB02304	C05954
DB02312	C00092
DB02312	C00275
DB02312	C00668
DB02312	C01113
DB02312	C01172
DB02312	C02962
DB02312	C02965
DB02312	C03735
DB02314	C00692
DB02315	C00942
DB02317	C00103
DB02317	C00446
DB02317	C00636
DB02317	C00663
DB02317	C01002
DB02317	C01171
DB02317	C03384
DB02317	C15924
DB02317	C15926
DB02321	C03539
DB02325	C01845
DB02332	C00016
DB02333	C00460
DB02334	C11499
DB02334	C11537
DB02334	C16069
DB02338	C00005
DB02342	C05302
DB02345	C05688
DB02362	C00568
DB02365	C00604
DB02368	C15532
DB02371	C05353
DB02373	C00001
DB02373	C01328
DB02375	C10107
DB02377	C00242
DB02379	C00031
DB02379	C00124
DB02379	C00159
DB02379	C00221
DB02379	C00267
DB02379	C00737
DB02379	C00738
DB02379	C00936
DB02379	C00962
DB02379	C00984
DB02379	C01487
DB02379	C01582
DB02379	C01825
DB02379	C02209
DB02379	C06464
DB02379	C06465
DB02379	C06466
DB02379	C06467
DB02379	C15923
DB02379	C17207
DB02380	C05512
DB02382	C01185
DB02383	C01621
DB02385	C05926
DB02403	C11010
DB02406	C00803
DB02417	C14454
DB02418	C03044
DB02418	C03046
DB02421	C00029
DB02421	C00052
DB02424	C11222
DB02428	C06325
DB02430	C00689
DB02431	C00063
DB02448	C17076
DB02452	C00459
DB02453	C00001
DB02453	C01328
DB02456	C00055
DB02458	C11175
DB02464	C15562
DB02467	C02989
DB02467	C15998
DB02467	C15999
