drugbank_id	pubchem_tpharma_id
DB00126	15321981
DB00126	15971359
DB00126	16020566
DB00127	14748726
DB00127	14767738
DB00127	14871261
DB00127	14902245
DB00127	152142463
DB00127	15493389
DB00127	15512767
DB00127	15687830
DB00127	16040828
DB00127	16403238
DB00127	16595926
DB00127	46498804
DB00128	117699011
DB00128	117699012
DB00128	117699013
DB00128	15119963
DB00128	15219005
DB00128	15297263
DB00128	15297269
DB00128	15321388
DB00128	15339188
DB00128	15363590
DB00128	15585830
DB00128	15661109
DB00128	16153894
DB00128	16398176
DB00128	16410400
DB00128	99438946
DB00129	14916053
DB00129	15119954
DB00129	15170686
DB00129	15810798
DB00129	15934450
DB00129	16190292
DB00130	15170843
DB00130	15170844
DB00130	15297396
DB00130	15297397
DB00130	16901925
DB00131	113032980
DB00131	14778327
DB00131	14851798
DB00131	15447137
DB00131	15965269
DB00132	111323640
DB00132	123047617
DB00132	123074380
DB00132	134966681
DB00132	14750830
DB00132	14751734
DB00132	14795565
DB00132	14848893
DB00132	14910449
DB00132	14910845
DB00132	14913219
DB00132	14939248
DB00132	14939298
DB00132	160639788
DB00132	160639789
DB00132	160640652
DB00132	160640671
DB00132	16335111
DB00132	163448519
DB00132	53780898
DB00132	57297462
DB00132	85179426
DB00133	14747454
DB00133	15119722
DB00133	15146420
DB00133	15321154
DB00133	15363449
DB00133	15486484
DB00133	15835774
DB00133	15860841
DB00133	15886017
DB00133	16532479
DB00133	56452922
DB00134	14772272
DB00134	14772273
DB00134	15146825
DB00134	15170890
DB00134	15194696
DB00134	15219257
DB00134	15536240
DB00134	15661365
DB00134	15811015
DB00134	15886341
DB00134	16901941
DB00134	16918907
DB00134	99438943
DB00135	117698789
DB00135	117699009
DB00135	15017378
DB00135	15067003
DB00135	15067018
DB00135	15147336
DB00135	15171329
DB00135	15171356
DB00135	15195185
DB00135	15219698
DB00135	15265662
DB00135	15291691
DB00135	15413595
DB00135	15438055
DB00135	16349606
DB00135	16435531
DB00135	16936167
DB00135	24768441
DB00135	24768442
DB00135	56378485
DB00135	56383809
DB00135	56383810
DB00135	96052716
DB00135	96052717
DB00135	96053991
DB00135	96053992
DB00135	96053993
DB00135	96053994
DB00135	96053995
DB00135	96053996
DB00135	96053997
DB00135	96054152
DB00135	96054153
DB00135	96054154
DB00135	96054155
DB00135	96054156
DB00135	96054157
DB00135	96054158
DB00135	96054310
DB00135	96054311
DB00135	96054312
DB00135	96054313
DB00135	96054314
DB00135	96054469
DB00135	99438945
DB00136	123078321
DB00136	135654229
DB00136	136949740
DB00136	14758019
DB00136	14758020
DB00136	14758022
DB00136	14792452
DB00136	14792792
DB00136	14806763
DB00136	14815101
DB00136	14816168
DB00136	14816509
DB00136	14831437
DB00136	14836310
DB00136	14840313
DB00136	14855739
DB00136	14855740
DB00136	14865359
DB00136	14866575
DB00136	14880086
DB00136	14887827
DB00136	14889302
DB00136	14889564
DB00136	14912465
DB00136	14929205
DB00136	14929206
DB00136	14929207
DB00136	14929212
DB00136	14939303
DB00136	15031028
DB00136	15080683
DB00136	15080685
DB00136	15175659
DB00136	15175660
DB00136	15451752
DB00136	15451755
DB00136	15476333
DB00136	15551983
DB00136	15918469
DB00136	15942504
DB00136	16162102
DB00136	16186358
DB00136	16286475
DB00136	163638811
DB00136	16380622
DB00136	16447023
DB00136	16615341
DB00136	16641047
DB00136	16644045
DB00136	16651525
DB00136	16717754
DB00136	16827057
DB00136	16869593
DB00136	16898427
DB00136	17405851
DB00136	56393198
DB00136	56451042
DB00136	56472386
DB00136	87327955
DB00136	92386979
DB00136	99239957
DB00137	104219786
DB00137	14837751
DB00137	15159922
DB00137	15208138
DB00137	15260799
DB00137	16212066
DB00137	163554499
DB00137	17384182
DB00137	49838286
DB00137	49838287
DB00137	50082267
DB00137	56465263
DB00137	85759439
DB00137	85759440
DB00137	85762150
DB00137	85762151
DB00137	85762417
DB00137	85762418
DB00137	99208085
DB00137	99303247
DB00138	14847441
DB00138	15019707
DB00138	15121959
DB00138	15291856
DB00138	16277285
DB00138	16879571
DB00139	15297131
DB00139	15321249
DB00139	16190168
DB00140	103804757
DB00140	136957342
DB00140	14782036
DB00140	14804331
DB00140	14829102
DB00140	15449405
DB00140	16124874
DB00140	16124875
DB00140	16137169
DB00140	16185602
DB00140	16299576
DB00140	16422178
DB00140	16575126
DB00140	16637276
DB00140	16651171
DB00140	16737983
DB00140	16894155
DB00140	16934819
DB00140	17161831
DB00140	24417470
DB00140	24698966
DB00140	46502254
DB00140	49811884
DB00140	56387956
DB00140	58100581
DB00140	85750137
DB00140	96040371
DB00141	15245058
DB00141	16215995
DB00141	16754924
DB00141	46523949
DB00142	117638599
DB00142	117697943
DB00142	117697944
DB00142	117697945
DB00142	117697946
DB00142	15041470
DB00142	15146797
DB00142	15146799
