drugbank_id	nikkaji_id
DB00136	J529.474F
DB00136	J529.475D
DB00136	J529.476B
DB00136	J601.091A
DB00136	J601.092J
DB00136	J69.526B
DB00136	J884.497F
DB00137	J1.084.602A
DB00137	J144.629K
DB00137	J2.040.367E
DB00137	J2.095.687I
DB00137	J2.095.688G
DB00137	J2.095.689E
DB00137	J2.095.690I
DB00137	J2.095.691G
DB00137	J2.095.692E
DB00137	J2.738.079D
DB00137	J261.831A
DB00137	J261.832J
DB00137	J5.394E
DB00137	J522.341E
DB00137	J522.342C
DB00137	J522.343A
DB00137	J522.344J
DB00137	J522.345H
DB00137	J908.192E
DB00138	J1.319F
DB00138	J14.061I
DB00138	J2.198.753K
DB00138	J2.323.014C
DB00138	J276.659K
DB00138	J9.172C
DB00138	J9.193F
DB00139	J1.728.625K
DB00139	J1.728.626I
DB00139	J1.728.628E
DB00139	J1.819.420A
DB00139	J2.433.230F
DB00139	J2.592.569F
DB00139	J2.710.262J
DB00139	J2.879G
DB00139	J215.983J
DB00139	J304.947G
DB00139	J364.618A
DB00140	J1.840.849J
DB00140	J1.840.850C
DB00140	J1.840.851A
DB00140	J1.840.852J
DB00140	J1.920.223B
DB00140	J15.732E
DB00140	J19.228G
DB00140	J3.876H
DB00140	J5.784C
DB00140	J692.868D
DB00140	J89.754J
DB00141	J1.692.458J
DB00141	J149.444I
DB00141	J199.634G
DB00141	J2.198.392F
DB00141	J2.198.393D
DB00141	J2.312.798I
DB00141	J640.395F
DB00141	J640.396D
DB00141	J81.413J
DB00141	J83.042I
DB00142	J1.181.513H
DB00142	J1.224.532G
DB00142	J1.404.014E
DB00142	J1.404.015C
DB00142	J1.599.683H
DB00142	J1.599.684F
DB00142	J1.651.231A
DB00142	J1.656.740J
DB00142	J1.767.616D
DB00142	J2.025.192A
DB00142	J2.188.287I
DB00142	J2.188.288G
DB00142	J2.338.013G
DB00142	J2.498.950J
DB00142	J2.696.193I
DB00142	J2.696.194G
DB00142	J2.696.198J
DB00142	J2.907.532H
DB00142	J3.349.092E
DB00142	J3.530.058I
DB00142	J3.530.059G
DB00142	J3.530.060K
DB00142	J3.530.061I
DB00142	J3.530.062G
DB00142	J3.530.063E
DB00142	J305.175G
DB00142	J366.315I
DB00142	J376.082K
DB00142	J452.018A
DB00142	J5.177B
DB00142	J728.850F
DB00142	J9.171E
DB00142	J9.214B
DB00143	J1.025.254G
DB00143	J1.184.160K
DB00143	J10.686K
DB00143	J2.120.521D
DB00143	J3.194.097D
DB00143	J3.519.357J
DB00143	J549.412E
DB00143	J716.163H
DB00145	J1.057.380G
DB00145	J1.163K
DB00145	J1.376.013F
DB00145	J1.419.344H
DB00145	J1.427.956C
DB00145	J1.537.522A
DB00145	J1.556.436I
DB00145	J2.049.576F
DB00145	J2.188.275E
DB00145	J2.327.609G
DB00145	J2.327.610K
DB00145	J2.951.414C
DB00145	J262.518K
DB00145	J3.448.994G
DB00145	J366.491K
DB00145	J437.069D
DB00145	J642.370A
DB00145	J712.024I
DB00145	J814.650K
DB00145	J962.223C
DB00146	J1.148.401H
DB00146	J1.496.348K
DB00146	J1.741.824F
DB00146	J1.741.826B
DB00146	J2.090.569G
DB00146	J2.739.486H
DB00146	J319.574K
DB00146	J468.305F
DB00146	J607.237B
DB00146	J9.697K
DB00147	J2.361B
DB00148	J9.321A
DB00149	J1.167C
DB00149	J1.197E
DB00149	J1.279.987J
DB00149	J1.279.988H
DB00149	J1.285H
DB00149	J1.427.957A
DB00149	J1.427.959H
DB00149	J1.431.615I
DB00149	J1.431.616G
DB00149	J1.431.617E
DB00149	J1.599.551C
DB00149	J1.599.552A
DB00149	J1.599.555F
DB00149	J1.656.739F
DB00149	J1.974.170B
DB00149	J2.072.153G
DB00149	J2.246.039K
DB00149	J2.249.277B
DB00149	J2.308.453H
DB00149	J2.338.004H
DB00149	J2.523.736F
DB00149	J2.965.103E
DB00149	J3.612.697C
DB00149	J367.232H
DB00149	J651.561D
DB00149	J651.562B
DB00149	J719.497H
DB00149	J938.213E
DB00149	J938.214C
DB00149	J946.958C
DB00149	J946.959A
DB00150	J1.065.699K
DB00150	J1.065.700H
DB00150	J1.538.921D
DB00150	J1.767.179K
DB00150	J1.891.251A
DB00150	J1.891.252J
DB00150	J1.960.184F
DB00150	J2.122.448K
DB00150	J2.122.450B
DB00150	J2.171.405D
DB00150	J2.198.754I
