drugbank_id	lipidmaps_id
DB02910	LMFA07050355
DB02912	LMFA07050364
DB02924	LMPR0102090015
DB02924	LMPR0102090048
DB02938	LMFA01010007
DB02952	LMFA01100053
DB02955	LMFA02000150
DB02955	LMFA02000184
DB02955	LMFA02000212
DB02955	LMFA02000213
DB02955	LMFA02000214
DB02955	LMFA02000354
DB02982	LMFA05000007
DB02982	LMFA05000196
DB03001	LMPR01070007
DB03007	LMFA02010001
DB03010	LMPK04000041
DB03017	LMFA01010012
DB03025	LMFA01050367
DB03025	LMFA05000090
DB03025	LMFA05000093
DB03025	LMFA05000712
DB03059	LMFA07050030
DB03143	LMFA05000092
DB03166	LMFA01010002
DB03169	LMFA07050116
DB03169	LMFA07050209
DB03170	LMFA07050315
DB03175	LMFA05000101
DB03193	LMFA01010018
DB03203	LMSP01010001
DB03264	LMFA07050340
DB03285	LMPK12120096
DB03320	LMFA01100051
DB03381	LMFA06000088
DB03397	LMSL01010002
DB03415	LMFA07050258
DB03429	LMGP12010266
DB03432	LMFA01100049
DB03432	LMFA01100050
DB03432	LMFA01100054
DB03438	LMGP04050008
DB03440	LMFA08020079
DB03451	LMST03020430
DB03451	LMST03020432
DB03460	LMPR01070282
DB03460	LMPR01070284
DB03467	LMPK12140001
DB03489	LMFA01050475
DB03489	LMFA01050486
DB03500	LMFA01010023
DB03515	LMST02010007
DB03518	LMFA01050352
DB03568	LMFA01010004
DB03590	LMFA01170102
DB03600	LMFA01010010
DB03601	LMPK12140061
DB03603	LMFA01170107
DB03603	LMFA01170108
DB03612	LMFA07050148
DB03612	LMFA07050153
DB03612	LMFA07050212
DB03619	LMST04010040
DB03619	LMST04010041
DB03619	LMST04010042
DB03619	LMST04010043
DB03619	LMST04010044
DB03619	LMST04010045
DB03619	LMST04010046
DB03619	LMST04010047
DB03633	LMGP01060014
DB03646	LMGL02030035
DB03671	LMST01120008
DB03675	LMFA01050452
DB03675	LMFA01050469
DB03690	LMGP01010876
DB03690	LMGP01010890
DB03696	LMPR0106090001
DB03696	LMPR0106090002
DB03696	LMST01010017
DB03699	LMFA07050370
DB03704	LMFA01050039
DB03741	LMFA01020072
DB03750	LMFA01020181
DB03756	LMFA01030185
DB03760	LMFA01130003
DB03766	LMFA01010003
DB03784	LMFA08010004
DB03784	LMFA08010011
DB03796	LMFA01010001
DB03815	LMFA05000598
DB03817	LMFA01100052
DB03823	LMPK12020002
DB03823	LMPK12020004
DB03832	LMFA07070002
DB03832	LMFA07070095
DB03852	LMPR0102090019
DB03866	LMFA03010009
DB03882	LMST02020052
