drugbank_id	actor_id
DB00189	95853-67-1
DB00190	14585-65-0
DB00190	27925-91-3
DB00190	28860-95-9
DB00190	28875-92-5
DB00190	38821-49-7
DB00190	500019-90-9
DB00190	57308-51-7
DB00190	65132-60-7
DB00191	1197-21-3
DB00191	122-09-8
DB00191	35373-71-8
DB00191	72050-93-2
DB00192	73681-12-6
DB00192	74517-78-5
DB00193	123134-25-8
DB00193	123154-38-1
DB00193	27203-92-5
DB00193	2914-77-4
DB00194	2006-02-2
DB00194	2946-52-3
DB00194	30143-02-3
DB00194	3080-29-3
DB00194	3228-71-5
DB00194	4005-33-8
DB00194	4185-03-9
DB00194	46946-45-6
DB00194	524-69-6
DB00194	5536-17-4
DB00194	5682-25-7
DB00194	58-61-7
DB00194	66592-84-5
DB00195	116209-55-3
DB00195	63659-18-7
DB00195	63659-19-8
DB00195	72424-72-7
DB00195	93221-48-8
DB00196	86386-73-4
DB00197	97322-87-7
DB00198	196618-13-0
DB00198	204255-09-4
DB00198	204255-11-8
DB00199	114-07-8
DB00199	82343-12-2
DB00200	13587-54-7
DB00200	13670-17-2
DB00200	13968-08-6
DB00200	13968-48-4
DB00200	13982-43-9
DB00200	14280-30-9
DB00200	14314-42-2
DB00200	14337-01-0
DB00200	14797-71-8
DB00200	14940-63-7
DB00200	14940-65-9
DB00200	156428-50-1
DB00200	17778-80-2
DB00200	22541-63-5
DB00200	24286-21-3
DB00200	3352-57-6
DB00200	558440-22-5
DB00200	56583-62-1
DB00200	7732-18-5
DB00200	7789-20-0
DB00201	202282-98-2
DB00201	26351-03-1
DB00201	26351-04-2
DB00201	58-08-2
DB00201	72238-85-8
DB00201	77196-81-7
DB00202	10168-63-5
DB00202	306-40-1
DB00202	541-19-5
DB00202	55-94-7
DB00202	6101-15-1
DB00202	71-27-2
DB00203	139755-83-2
DB00203	171599-83-0
DB00203	951385-68-5
DB00204	115256-11-6
DB00205	14720-95-7
DB00205	175277-93-7
DB00205	19085-09-7
DB00205	37338-39-9
DB00205	37357-69-0
DB00205	53640-38-3
DB00205	55128-75-1
DB00205	58-14-0
DB00205	59988-99-7
DB00205	65703-46-0
DB00205	69191-18-0
DB00205	7403-48-7
DB00205	81247-66-7
DB00205	85819-86-9
DB00205	96283-37-3
DB00206	1263-58-7
DB00206	1407-38-1
DB00206	482-85-9
DB00207	121470-24-4
DB00207	122463-26-7
DB00207	83905-01-5
DB00208	53885-35-1
DB00208	55142-85-3
DB00209	10405-02-4
DB00209	47608-32-2
DB00209	73954-17-3
DB00210	106685-40-9
DB00211	3092-17-9
DB00211	42794-76-3
DB00213	102625-70-7
DB00213	922727-65-9
DB00214	56211-40-6
DB00215	128196-01-0
DB00215	219861-08-2
DB00215	59729-32-7
DB00215	59729-33-8
DB00215	85118-27-0
DB00216	143322-58-1
DB00217	114-85-2
DB00217	2863-34-5
DB00217	55-73-2
DB00218	151096-09-2
DB00218	186826-86-8
DB00218	354812-41-2
DB00219	1407-05-2
DB00219	14214-84-7
DB00219	3486-39-3
DB00219	50-10-2
DB00219	8056-07-3
DB00220	159989-64-7
DB00220	159989-65-8
DB00221	2576-92-3
DB00221	50-96-4
DB00221	530-08-5
DB00221	63550-80-1
DB00221	7279-75-6
DB00222	834894-07-4
DB00222	93479-97-1
DB00223	2135-17-3
DB00223	2557-49-5
DB00223	26259-77-8
DB00223	60895-22-9
DB00224	150378-17-9
DB00224	157810-81-6
DB00224	180683-37-8
DB00225	122760-91-2
DB00225	122795-43-1
DB00225	128326-81-8
DB00225	128470-17-7
DB00225	131410-48-5
DB00225	131410-50-9
DB00225	22541-19-1
DB00226	22195-34-2
DB00226	40580-59-4
DB00227	365453-26-5
DB00227	71949-96-7
DB00227	75330-75-5
DB00228	13838-16-9
DB00229	61622-34-2
DB00229	66309-69-1
DB00230	148553-50-8
DB00231	78065-43-7
DB00231	846-50-4
DB00232	135-07-9
DB00232	8057-21-4
DB00233	65-49-6
DB00234	141425-90-3
DB00234	635724-55-9
DB00234	71620-89-8
DB00234	93851-85-5
DB00234	93851-87-7
DB00234	98769-81-4
DB00234	98769-84-7
DB00234	98819-76-2
DB00235	100286-97-3
DB00235	78415-72-2
DB00236	54-91-1
DB00237	1135-61-1
DB00237	125-40-6
DB00237	143-81-7
DB00237	3330-61-8
DB00237	75847-62-0
DB00238	129618-40-2
DB00238	811471-91-7
DB00239	104360-36-3
DB00239	64211-45-6
DB00239	64211-46-7
DB00240	67452-97-5
DB00241	122018-95-5
DB00241	23554-70-3
DB00241	51005-25-5
DB00241	60382-50-5
DB00241	624746-94-7
DB00241	77-26-9
DB00242	24757-90-2
DB00242	4291-63-8
DB00242	5542-92-7
DB00243	110445-25-5
DB00243	142387-99-3
DB00243	95635-55-5
DB00243	95635-56-6
DB00244	35589-28-7
DB00244	61513-32-4
DB00244	6291-36-7
DB00244	89-57-6
DB00245	132-17-2
DB00245	74195-64-5
DB00245	80677-48-1
DB00245	86-13-5
DB00246	122883-93-6
DB00246	138982-67-9
DB00246	146939-27-7
DB00246	185021-64-1
DB00246	199191-69-0
DB00247	1257-58-5
DB00247	129-49-7
DB00247	156558-44-0
DB00247	29605-96-7
DB00247	361-37-5
DB00248	81409-90-7
DB00248	85329-89-1
DB00249	13104-59-1
DB00249	1336-77-2
DB00249	53745-34-9
DB00249	60110-67-0
DB00250	103443-55-6
DB00250	106776-92-5
DB00250	125881-35-8
DB00250	37357-69-0
DB00250	55015-10-6
DB00250	69422-71-5
DB00250	7355-05-7
DB00250	80-08-0
DB00251	67915-31-5
DB00252	125-59-7
DB00252	1421-15-4
DB00252	17199-74-5
DB00252	57-41-0
DB00252	630-93-3
DB00252	64217-16-9
DB00252	77737-07-6
DB00252	77737-08-7
DB00252	78371-61-6
DB00252	8017-26-3
DB00252	8057-97-4
DB00252	84769-50-6
DB00253	2668-66-8
DB00254	10592-13-9
DB00254	17086-28-1
DB00254	24390-14-5
DB00254	564-25-0
DB00255	102584-76-9
DB00255	22610-99-7
DB00255	56-53-1
DB00255	63528-82-5
DB00255	6898-97-1
DB00257	117829-71-7
DB00257	23593-75-1
