drugbank_id	surechembl_id
DB00104	SCHEMBL18344322
DB00104	SCHEMBL18344324
DB00104	SCHEMBL18344333
DB00104	SCHEMBL18344363
DB00104	SCHEMBL18344366
DB00104	SCHEMBL18344371
DB00104	SCHEMBL18344378
DB00104	SCHEMBL18344384
DB00104	SCHEMBL18344388
DB00104	SCHEMBL18344390
DB00104	SCHEMBL18344405
DB00104	SCHEMBL18344410
DB00104	SCHEMBL18344431
DB00104	SCHEMBL18344467
DB00104	SCHEMBL18344469
DB00104	SCHEMBL18344472
DB00104	SCHEMBL18344473
DB00104	SCHEMBL18344516
DB00104	SCHEMBL18344556
DB00104	SCHEMBL18344560
DB00104	SCHEMBL18344568
DB00104	SCHEMBL18344575
DB00104	SCHEMBL18344576
DB00104	SCHEMBL18344674
DB00104	SCHEMBL18344676
DB00104	SCHEMBL18344731
DB00104	SCHEMBL18636
DB00104	SCHEMBL18823377
DB00104	SCHEMBL18823378
DB00104	SCHEMBL19232283
DB00104	SCHEMBL19815748
DB00104	SCHEMBL19815822
DB00104	SCHEMBL19816086
DB00104	SCHEMBL19816396
DB00104	SCHEMBL19816949
DB00104	SCHEMBL21003204
DB00104	SCHEMBL2119786
DB00104	SCHEMBL21332859
DB00104	SCHEMBL2222533
DB00104	SCHEMBL2222954
DB00104	SCHEMBL2223757
DB00104	SCHEMBL2225009
DB00104	SCHEMBL2330976
DB00104	SCHEMBL2435867
DB00104	SCHEMBL247589
DB00104	SCHEMBL2830104
DB00104	SCHEMBL2835428
DB00104	SCHEMBL3128018
DB00104	SCHEMBL320745
DB00104	SCHEMBL3643561
DB00104	SCHEMBL4392024
DB00104	SCHEMBL4745399
DB00104	SCHEMBL5146800
DB00104	SCHEMBL5525669
DB00104	SCHEMBL58453
DB00104	SCHEMBL6066965
DB00104	SCHEMBL6452623
DB00104	SCHEMBL678434
DB00104	SCHEMBL6930100
DB00104	SCHEMBL7116694
DB00104	SCHEMBL7158631
DB00104	SCHEMBL725387
DB00104	SCHEMBL7410834
DB00104	SCHEMBL7909
DB00104	SCHEMBL7910
DB00104	SCHEMBL8585217
DB00104	SCHEMBL972741
DB00106	SCHEMBL1274578
DB00106	SCHEMBL13575752
DB00106	SCHEMBL19712245
DB00106	SCHEMBL4248900
DB00106	SCHEMBL5608454
DB00106	SCHEMBL6381255
DB00106	SCHEMBL674166
DB00106	SCHEMBL9533
DB00114	SCHEMBL10337888
DB00114	SCHEMBL10338085
DB00114	SCHEMBL10338086
DB00114	SCHEMBL10338098
DB00114	SCHEMBL10412392
DB00114	SCHEMBL10534222
DB00114	SCHEMBL11306580
DB00114	SCHEMBL11547419
DB00114	SCHEMBL1527665
DB00114	SCHEMBL15862634
DB00114	SCHEMBL20335516
DB00114	SCHEMBL20335524
DB00114	SCHEMBL2253408
DB00114	SCHEMBL23158
DB00114	SCHEMBL2746592
DB00114	SCHEMBL2746593
DB00114	SCHEMBL2847404
DB00114	SCHEMBL397066
DB00114	SCHEMBL4073272
DB00114	SCHEMBL4076498
DB00114	SCHEMBL4085746
DB00114	SCHEMBL4179149
DB00114	SCHEMBL4440488
DB00114	SCHEMBL4916108
DB00114	SCHEMBL524748
