drugbank_id	drugcentral_id
DB00683	1802
DB00684	2684
DB00685	2777
DB00688	1859
DB00689	572
DB00690	1218
DB00691	1827
DB00692	2142
DB00694	786
DB00695	1258
DB00696	1043
DB00697	2683
DB00698	1949
DB00699	1910
DB00700	1032
DB00701	200
DB00703	1741
DB00704	1765
DB00705	799
DB00706	2562
DB00708	2491
DB00709	1539
DB00710	1404
DB00711	873
DB00712	1219
DB00712	5060
DB00713	2006
DB00714	228
DB00715	2068
DB00716	1889
DB00717	1962
DB00718	88
DB00719	268
DB00720	690
DB00721	2271
DB00722	1587
DB00723	1753
DB00724	1429
DB00725	1380
DB00726	2758
DB00727	1952
DB00728	2396
DB00730	2621
DB00731	1886
DB00732	259
DB00732	661
DB00733	2231
DB00734	2389
DB00735	1872
DB00736	1055
DB00736	1990
DB00737	1649
DB00738	2090
DB00739	1363
DB00740	2382
DB00741	1388
DB00742	2462
DB00742	935
DB00744	2862
DB00745	1826
DB00745	4501
DB00746	792
DB00747	2424
DB00748	499
DB00749	1103
DB00750	2265
DB00751	1027
DB00752	2715
DB00753	1493
DB00754	1088
DB00755	1508
DB00755	2722
DB00755	3862
DB00756	1364
DB00757	3931
DB00758	708
DB00759	2611
DB00760	1709
DB00761	4568
DB00762	1482
DB00763	1745
DB00765	1792
DB00766	669
DB00767	331
DB00769	1387
DB00770	138
DB00771	676
DB00772	1626
DB00773	1112
DB00774	1392
DB00775	2680
DB00776	2017
DB00777	2298
DB00778	2410
DB00779	1875
DB00780	2123
DB00782	2293
DB00783	1057
DB00784	1663
DB00787	85
DB00788	1883
DB00789	2092
DB00790	2108
DB00791	2795
DB00792	2762
DB00793	1355
DB00794	2267
DB00795	2525
DB00796	475
DB00797	2695
DB00799	2571
DB00800	1153
DB00801	1348
DB00802	114
DB00804	868
DB00805	1812
DB00806	2099
DB00807	2294
DB00808	1433
DB00809	2774
DB00810	374
DB00811	2373
DB00812	2145
DB00813	1164
DB00814	1676
DB00816	1720
DB00817	83
DB00818	2302
DB00819	56
DB00820	2553
DB00821	518
DB00822	928
DB00823	1095
DB00824	1015
DB00825	934
DB00826	1885
DB00827	657
DB00828	1243
DB00829	852
DB00830	2133
DB00831	2740
DB00832	2139
DB00833	525
DB00834	1805
DB00835	408
DB00835	830
DB00836	1599
DB00837	2278
DB00839	2694
DB00841	13
DB00841	937
DB00842	2015
DB00843	946
DB00844	1874
DB00845	692
DB00846	1217
DB00847	768
DB00848	1561
DB00849	1696
DB00850	2113
DB00851	773
DB00852	1024
DB00852	2326
DB00853	2589
DB00854	1574
DB00855	166
DB00857	2597
DB00859	2081
DB00860	2245
DB00861	880
DB00862	2809
DB00863	2358
DB00864	2552
DB00865	329
DB00866	137
DB00867	2390
DB00869	949
DB00870	2546
DB00871	2598
DB00872	732
DB00874	1336
DB00875	1211
DB00876	1037
DB00877	2446
DB00878	597
DB00879	1003
DB00880	609
DB00881	2340
DB00882	700
DB00883	1505
DB00884	2387
DB00885	2074
DB00886	1989
DB00887	427
DB00888	1647
DB00889	1329
DB00890	870
DB00891	2524
DB00892	3016
DB00894	2606
DB00895	1622
DB00896	2384
DB00897	2729
DB00898	1076
DB00899	2363
DB00900	869
DB00901	384
DB00902	1742
DB00903	1071
DB00904	1992
DB00905	371
DB00906	2648
DB00907	723
DB00908	2346
DB00908	4523
DB00909	2872
DB00910	2066
DB00911	2671
DB00912	2366
DB00913	220
DB00914	2126
DB00915	144
DB00916	1790
DB00917	913
DB00918	128
DB00919	2468
DB00920	1530
DB00921	434
DB00922	1576
DB00923	544
DB00924	751
DB00925	2136
DB00926	1116
DB00927	1129
DB00928	25
DB00929	1817
DB00931	1727
DB00932	3609
DB00933	1712
DB00934	1634
DB00935	2032
DB00936	2416
DB00937	874
DB00938	2419
DB00939	1650
DB00940	1736
DB00941	1365
DB00942	763
DB00943	2856
DB00944	801
DB00945	74
DB00946	2138
DB00947	1255
DB00948	1795
DB00949	1140
DB00950	1170
DB00951	1497
DB00952	1884
DB00953	2393
DB00954	925
DB00955	1903
DB00956	1386
DB00957	1968
DB00958	4472
DB00958	4625
DB00959	1768
DB00960	2176
DB00961	1700
DB00962	2857
DB00963	401
DB00964	229
DB00966	2583
DB00967	814
DB00968	1762
DB00969	129
DB00970	774
DB00971	4274
DB00972	271
DB00974	987
DB00975	924
DB00977	1082
DB00978	1594
DB00979	757
DB00980	2355
DB00981	2159
DB00982	1508
DB00982	2722
DB00982	3862
DB00983	1239
DB00983	4943
DB00984	1882
DB00985	916
DB00986	4302
DB00987	770
DB00988	947
DB00989	2392
DB00990	1122
DB00991	2013
DB00992	168
DB00993	269
DB00996	1264
DB00997	1030
DB00997	960
DB00998	1251
DB00999	1385
DB01000	632
DB01001	105
DB01001	1575
DB01002	4
DB01002	432
DB01003	741
DB01004	1277
DB01005	1399
DB01006	1556
DB01007	2675
DB01008	438
DB01009	1528
DB01009	833
DB01010	988
DB01011	1791
DB01012	647
DB01013	4452
DB01014	284
DB01015	2514
DB01018	1343
DB01019	358
DB01020	1506
DB01021	2733
DB01022	2843
DB01023	1142
DB01024	1860
DB01025	182
DB01026	1527
DB01028	1754
DB01029	1481
DB01030	2707
DB01031	1081
DB01033	1708
DB01034	578
DB01035	2270
DB01037	2429
DB01038	516
DB01041	2616
DB01042	1678
DB01043	1679
DB01044	1280
DB01045	2377
DB01046	4123
DB01047	1205
DB01050	1407
DB01050	3851
DB01051	1974
DB01053	2082
DB01054	1947
DB01054	6
DB01056	2686
DB01057	982
DB01058	2241
DB01059	1967
DB01060	192
DB01061	277
DB01062	2028
DB01063	59
DB01064	1499
DB01064	2388
DB01067	1301
DB01068	703
DB01069	2286
DB01070	2841
DB01071	1707
DB01072	254
DB01074	2106
DB01075	916
DB01076	257
DB01077	1098
DB01078	813
DB01079	2579
DB01080	2819
DB01081	918
DB01082	2481
DB01083	1996
DB01084	999
DB01085	2166
DB01086	323
DB01087	2266
DB01088	1422
DB01089	810
DB01090	2096
DB01091	444
DB01092	2004
DB01093	906
DB01094	1362
DB01096	2009
DB01097	1552
DB01099	1188
DB01100	2172
DB01101	480
DB01102	237
DB01103	2338
DB01104	2436
DB01105	2440
DB01106	1564
DB01107	1774
DB01108	2746
DB01110	1800
DB01112	565
DB01113	2056
DB01114	4411
DB01114	616
DB01115	1922
DB01116	2752
DB01117	258
DB01118	176
DB01119	854
DB01120	1299
DB01121	2114
DB01122	146
DB01123	2277
DB01124	2696
DB01125	222
DB01126	973
DB01127	983
DB01128	367
DB01129	2350
DB01129	4867
DB01130	2243
DB01131	2282
DB01132	2179
DB01133	2666
DB01134	822
DB01135	2974
DB01136	522
DB01137	1569
DB01137	1981
DB01138	2528
DB01139	575
DB01140	526
DB01141	1798
DB01142	956
DB01143	156
DB01144	864
DB01145	2533
DB01146	920
DB01147	720
DB01148	1175
DB01149	1890
DB01150	556
DB01151	812
DB01153	2434
DB01154	2626
DB01156	435
DB01157	2757
DB01158	394
DB01159	1356
DB01160	2771
DB01160	912
DB01161	605
DB01162	3584
DB01163	1648
DB01164	4568
DB01165	1569
DB01165	1981
DB01166	644
DB01167	1513
DB01168	2272
DB01169	244
DB01170	1342
DB01171	1825
DB01172	1519
DB01173	1999
DB01174	2134
DB01175	1053
DB01175	663
DB01176	749
DB01177	1414
DB01178	603
DB01179	3481
DB01180	2369
DB01181	1421
DB01182	2291
DB01183	1878
DB01184	945
DB01185	1210
DB01186	2105
DB01188	636
DB01189	811
DB01190	678
DB01191	1150
DB01191	832
DB01192	2034
DB01193	40
DB01194	396
DB01195	1176
DB01196	1065
DB01197	484
DB01198	1068
DB01198	2873
DB01199	2781
DB01200	403
DB01201	2378
DB01202	1563
DB01203	1865
DB01204	1821
DB01205	1195
DB01206	1596
DB01208	2466
DB01209	847
DB01210	431
DB01211	668
DB01212	564
DB01213	1233
DB01214	1779
DB01215	1056
DB01216	1171
DB01217	210
DB01218	1350
DB01219	780
DB01220	2379
DB01221	1523
DB01221	4468
DB01222	419
DB01223	2620
DB01224	2337
DB01226	1822
DB01227	1571
DB01227	1729
DB01228	1007
DB01229	2044
DB01230	2075
DB01231	313
DB01232	2422
DB01233	1782
DB01234	348
DB01234	824
DB01235	1567
DB01236	2439
DB01237	404
DB01238	242
DB01239	623
DB01240	1034
DB01241	1285
DB01242	701
DB01243	611
DB01244	342
DB01245	789
DB01246	2749
DB01247	1490
DB01248	939
DB01249	3302
DB01250	1988
DB01251	1302
DB01252	1818
DB01253	1042
DB01254	785
DB01255	4135
DB01256	2371
DB01259	1548
DB01260	3135
DB01261	2448
DB01262	790
DB01263	3483
DB01264	4143
DB01265	4220
DB01267	4137
DB01268	2544
