drugbank_id	comptox_id
DB00216	DTXSID00675878
DB00216	DTXSID60649550
DB00216	DTXSID9046861
DB00217	DTXSID30182803
DB00217	DTXSID7022677
DB00217	DTXSID7048748
DB00218	DTXSID1049063
DB00218	DTXSID3048491
DB00218	DTXSID30861404
DB00218	DTXSID4045921
DB00218	DTXSID70858151
DB00219	DTXSID4045632
DB00219	DTXSID8048571
DB00220	DTXSID2033736
DB00220	DTXSID5035080
DB00221	DTXSID2045571
DB00221	DTXSID9048560
DB00222	DTXSID5040675
DB00223	DTXSID2045365
DB00224	DTXSID00675974
DB00224	DTXSID1044221
DB00224	DTXSID4043802
DB00224	DTXSID7023144
DB00225	DTXSID10155853
DB00225	DTXSID40275659
DB00225	DTXSID40892981
DB00225	DTXSID50157033
DB00225	DTXSID60155909
DB00225	DTXSID70275662
DB00225	DTXSID9048647
DB00226	DTXSID2048533
DB00226	DTXSID8045432
DB00227	DTXSID5020784
DB00227	DTXSID70190043
DB00228	DTXSID1020562
DB00229	DTXSID1045538
DB00229	DTXSID6022763
DB00230	DTXSID1045950
DB00230	DTXSID90276292
DB00231	DTXSID60676149
DB00231	DTXSID8021309
DB00232	DTXSID6023313
DB00233	DTXSID2022591
DB00234	DTXSID1048257
DB00234	DTXSID8045690
DB00235	DTXSID40881375
DB00235	DTXSID5023324
DB00236	DTXSID7023485
DB00237	DTXSID2022709
DB00237	DTXSID40661836
DB00237	DTXSID70874119
DB00238	DTXSID30176606
DB00238	DTXSID60733069
DB00238	DTXSID7031797
DB00239	DTXSID2045943
DB00239	DTXSID8040690
DB00241	DTXSID00661837
DB00241	DTXSID50153479
DB00241	DTXSID60211514
DB00241	DTXSID6022711
DB00241	DTXSID90209141
DB00242	DTXSID50274315
DB00242	DTXSID8022828
DB00243	DTXSID3045196
DB00243	DTXSID60648922
DB00243	DTXSID60678729
DB00244	DTXSID30189054
DB00244	DTXSID30212098
DB00244	DTXSID30676010
DB00244	DTXSID5024506
DB00244	DTXSID50892775
DB00244	DTXSID80678680
DB00245	DTXSID0045096
DB00245	DTXSID9022659
DB00246	DTXSID00153762
DB00246	DTXSID00160855
DB00246	DTXSID4023753
DB00246	DTXSID40892749
DB00246	DTXSID80151428
DB00247	DTXSID2023307
DB00248	DTXSID6022719
DB00249	DTXSID2045238
DB00249	DTXSID50169090
DB00249	DTXSID50423563
DB00250	DTXSID00456285
DB00250	DTXSID4020371
DB00250	DTXSID60203555
DB00250	DTXSID60280189
DB00250	DTXSID70190801
DB00250	DTXSID70219581
DB00250	DTXSID80147760
DB00251	DTXSID2045498
DB00252	DTXSID2023775
DB00252	DTXSID20425993
DB00252	DTXSID40214427
DB00252	DTXSID50724709
DB00252	DTXSID80169200
DB00252	DTXSID8020541
DB00252	DTXSID90223261
DB00252	DTXSID90787111
DB00253	DTXSID6045371
DB00254	DTXSID0037653
DB00254	DTXSID1045405
DB00254	DTXSID4041020
DB00255	DTXSID3020465
DB00255	DTXSID3040770
DB00257	DTXSID7029871
DB00258	DTXSID0020234
DB00258	DTXSID10233786
DB00258	DTXSID1037694
DB00258	DTXSID20385104
DB00258	DTXSID30481080
DB00258	DTXSID40583509
DB00258	DTXSID40745786
DB00258	DTXSID50149534
DB00258	DTXSID5024394
DB00258	DTXSID60152175
DB00258	DTXSID60583900
DB00258	DTXSID7037638
DB00259	DTXSID20480507
DB00259	DTXSID4023622
DB00259	DTXSID90746844
DB00260	DTXSID30222591
DB00260	DTXSID40747402
DB00260	DTXSID60225570
DB00260	DTXSID8022870
DB00262	DTXSID80207838
DB00262	DTXSID8022743
DB00263	DTXSID10190800
DB00263	DTXSID6021292
DB00263	DTXSID90195616
DB00263	DTXSID90199396
DB00264	DTXSID20230862
DB00264	DTXSID2023309
DB00264	DTXSID30648858
DB00264	DTXSID60230861
DB00264	DTXSID9037248
DB00264	DTXSID9048726
DB00265	DTXSID6040664
DB00266	DTXSID8021729
DB00267	DTXSID0046646
DB00267	DTXSID2022755
DB00268	DTXSID50238533
DB00268	DTXSID8045195
DB00268	DTXSID90649407
DB00268	DTXSID90892875
DB00269	DTXSID1021299
DB00270	DTXSID4023179
DB00270	DTXSID40662045
DB00271	DTXSID0044521
DB00271	DTXSID10227842
DB00271	DTXSID1048960
DB00271	DTXSID20897171
DB00271	DTXSID7022912
DB00271	DTXSID90164004
DB00271	DTXSID90230450
DB00272	DTXSID6047789
DB00272	DTXSID7022675
DB00273	DTXSID20242081
DB00273	DTXSID50678672
DB00273	DTXSID8023688
DB00274	DTXSID5045590
DB00274	DTXSID7022756
DB00275	DTXSID2040571
DB00276	DTXSID00230209
DB00276	DTXSID2037186
DB00276	DTXSID4022604
DB00276	DTXSID70202670
DB00277	DTXSID5021336
DB00277	DTXSID50892770
DB00277	DTXSID60583081
DB00278	DTXSID20658446
DB00278	DTXSID5057888
DB00278	DTXSID7046467
DB00279	DTXSID10210299
DB00279	DTXSID60746331
DB00279	DTXSID70230438
DB00279	DTXSID8023216
DB00279	DTXSID8047505
DB00280	DTXSID1045536
DB00281	DTXSID1045166
DB00281	DTXSID30892672
DB00282	DTXSID4023414
DB00282	DTXSID5042667
DB00283	DTXSID2022832
DB00283	DTXSID6047785
DB00285	DTXSID6023737
DB00285	DTXSID60476505
DB00285	DTXSID8047397
DB00285	DTXSID90430837
DB00285	DTXSID90547414
DB00287	DTXSID80896948
DB00288	DTXSID6045905
DB00289	DTXSID2044266
DB00289	DTXSID50147075
DB00289	DTXSID70232033
DB00289	DTXSID9044297
DB00290	DTXSID2042690
DB00290	DTXSID20872327
DB00290	DTXSID60194353
DB00290	DTXSID80227899
DB00291	DTXSID70186729
DB00291	DTXSID7020263
DB00291	DTXSID90145611
DB00292	DTXSID5023033
DB00293	DTXSID0046482
DB00294	DTXSID9046782
DB00296	DTXSID2048379
DB00296	DTXSID30676136
DB00296	DTXSID40150174
DB00296	DTXSID4040187
DB00296	DTXSID90676137
DB00297	DTXSID0030877
DB00297	DTXSID2022703
DB00297	DTXSID20745926
DB00297	DTXSID50199877
DB00297	DTXSID70747233
DB00297	DTXSID8048496
DB00297	DTXSID9046071
DB00298	DTXSID7048669
DB00298	DTXSID90223140
DB00299	DTXSID70849640
DB00299	DTXSID9046491
DB00300	DTXSID30223427
DB00300	DTXSID5050426
DB00300	DTXSID5052757
DB00301	DTXSID1046477
DB00301	DTXSID60193184
DB00301	DTXSID6045115
DB00301	DTXSID8023056
DB00301	DTXSID90894834
DB00302	DTXSID3045350
DB00303	DTXSID50165456
DB00304	DTXSID20221336
DB00304	DTXSID6022898
DB00305	DTXSID10239086
DB00305	DTXSID2020898
DB00306	DTXSID8023630
DB00307	DTXSID1040619
DB00307	DTXSID70661809
DB00308	DTXSID00159845
DB00308	DTXSID8048652
DB00309	DTXSID0049074
DB00309	DTXSID6023739
DB00310	DTXSID20230408
DB00310	DTXSID4022812
DB00311	DTXSID1023021
DB00312	DTXSID7023435
DB00313	DTXSID00236605
DB00313	DTXSID6023733
DB00314	DTXSID4046652
DB00314	DTXSID70891321
DB00314	DTXSID90891323
DB00316	DTXSID2020006
DB00316	DTXSID50480414
DB00316	DTXSID50670171
DB00316	DTXSID50892679
DB00316	DTXSID90480413
DB00317	DTXSID00678647
DB00317	DTXSID10597850
DB00317	DTXSID60678648
DB00317	DTXSID8041034
DB00319	DTXSID2023482
DB00319	DTXSID6048965
DB00320	DTXSID6045614
DB00321	DTXSID60168958
DB00321	DTXSID7022594
DB00321	DTXSID70675608
DB00321	DTXSID9033187
DB00322	DTXSID10858958
DB00322	DTXSID3023057
DB00322	DTXSID70274397
DB00323	DTXSID3023685
DB00324	DTXSID30183037
DB00324	DTXSID7047435
DB00325	DTXSID7041126
DB00327	DTXSID10179978
DB00327	DTXSID8023133
DB00328	DTXSID20892888
DB00328	DTXSID9020740
DB00330	DTXSID8023006
DB00330	DTXSID90143374
DB00331	DTXSID2023270
DB00332	DTXSID3045772
DB00332	DTXSID60858923
DB00332	DTXSID9048437
DB00333	DTXSID00676007
DB00333	DTXSID2020501
DB00333	DTXSID60662067
DB00333	DTXSID7023273
DB00334	DTXSID9023388
DB00335	DTXSID0045753
DB00335	DTXSID10239405
DB00335	DTXSID2022628
DB00335	DTXSID4020111
DB00336	DTXSID30676070
DB00336	DTXSID5020944
DB00337	DTXSID2046674
DB00339	DTXSID80676121
DB00339	DTXSID9021215
DB00340	DTXSID1047867
DB00340	DTXSID8045359
DB00341	DTXSID2044268
DB00341	DTXSID4022787
DB00341	DTXSID60156294
DB00341	DTXSID60231691
DB00342	DTXSID2023642
DB00343	DTXSID00860484
DB00343	DTXSID50678697
DB00343	DTXSID50881104
DB00343	DTXSID8040147
DB00343	DTXSID9022940
DB00343	DTXSID90678696
DB00344	DTXSID0023535
DB00344	DTXSID8046951
DB00345	DTXSID7022590
DB00346	DTXSID3045514
DB00346	DTXSID6048549
DB00347	DTXSID9021396
DB00348	DTXSID50858179
DB00348	DTXSID9042673
DB00349	DTXSID2046759
DB00350	DTXSID9040685
DB00351	DTXSID30199178
DB00351	DTXSID9040683
DB00352	DTXSID6023652
DB00353	DTXSID1023283
DB00353	DTXSID60211130
DB00354	DTXSID0022694
DB00354	DTXSID5045091
DB00355	DTXSID0022640
DB00355	DTXSID20244045
DB00356	DTXSID50745919
DB00356	DTXSID9022813
DB00357	DTXSID8022589
DB00358	DTXSID1047819
DB00358	DTXSID20459293
DB00358	DTXSID4037168
DB00358	DTXSID50198067
DB00358	DTXSID60199641
DB00358	DTXSID60676003
DB00358	DTXSID70213988
DB00359	DTXSID20230125
DB00359	DTXSID20676145
DB00359	DTXSID30662195
DB00359	DTXSID30816237
DB00359	DTXSID50223424
DB00359	DTXSID70227702
DB00359	DTXSID7044130
DB00359	DTXSID80192614
DB00359	DTXSID80229510
DB00360	DTXSID00238104
DB00360	DTXSID0040620
DB00360	DTXSID1041138
DB00360	DTXSID50676153
DB00360	DTXSID60721148
DB00360	DTXSID80872469
DB00361	DTXSID5047825
DB00361	DTXSID8040640
DB00362	DTXSID50873201
DB00363	DTXSID30892773
DB00363	DTXSID5022855
DB00364	DTXSID1048966
DB00364	DTXSID20893597
DB00364	DTXSID4051243
DB00364	DTXSID50164262
DB00364	DTXSID6026296
DB00364	DTXSID8074281
DB00364	DTXSID80894747
DB00365	DTXSID0046692
DB00365	DTXSID2048321
DB00366	DTXSID1022970
DB00366	DTXSID20675875
DB00366	DTXSID7020552
DB00367	DTXSID3036496
DB00367	DTXSID3047477
DB00367	DTXSID90192569
DB00367	DTXSID90892173
DB00368	DTXSID2047806
DB00368	DTXSID50148507
DB00368	DTXSID5023378
DB00368	DTXSID80212982
DB00369	DTXSID3043734
DB00369	DTXSID6041002
DB00370	DTXSID0023325
DB00370	DTXSID80210281
DB00370	DTXSID90662131
DB00371	DTXSID00199802
DB00371	DTXSID20241918
DB00371	DTXSID20662068
DB00371	DTXSID30230434
DB00371	DTXSID3023261
DB00371	DTXSID70230978
DB00372	DTXSID1023651
DB00372	DTXSID1045586
DB00372	DTXSID20307028
DB00373	DTXSID3047504
DB00373	DTXSID4023674
DB00373	DTXSID50163331
DB00373	DTXSID60219333
DB00373	DTXSID70238611
DB00374	DTXSID50232132
DB00376	DTXSID4023705
DB00376	DTXSID8045802
DB00377	DTXSID5048342
DB00377	DTXSID8046610
DB00378	DTXSID00611074
DB00378	DTXSID1022974
DB00378	DTXSID70179353
DB00379	DTXSID00720413
DB00379	DTXSID2045783
DB00379	DTXSID50241709
DB00379	DTXSID8048446
DB00380	DTXSID0020733
DB00380	DTXSID3040647
DB00380	DTXSID50305214
DB00380	DTXSID60164152
DB00381	DTXSID7022596
DB00381	DTXSID70670072
DB00381	DTXSID80747027
DB00381	DTXSID90430938
DB00382	DTXSID1026112
DB00382	DTXSID1037272
DB00382	DTXSID80221711
DB00383	DTXSID4023410
DB00383	DTXSID6045909
DB00384	DTXSID00848025
DB00384	DTXSID30226852
DB00384	DTXSID50161615
DB00384	DTXSID6021373
DB00385	DTXSID9046497
