drugbank_id	pubchem_dotf_id
DB08842	12013796
DB08846	12013687
DB08856	12012839
DB08864	49684233
DB08865	125299329
DB08868	12014880
DB08871	49684210
DB08872	22395865
DB08873	92309409
DB08874	22395184
DB08877	99431630
DB08878	81044355
DB08880	12014666
DB08881	123055406
DB08882	56310616
DB08883	136349971
DB08889	92309411
DB08890	85197653
DB08891	123055284
DB08895	49684221
DB08896	123055398
DB08897	49684225
DB08899	125299336
DB08901	136350016
DB08903	81044374
DB08905	12013811
DB08906	24714804
DB08907	125299338
DB08908	99431554
DB08910	50086901
DB08912	125299349
DB08915	136349978
DB08916	57304398
DB08918	12013109
DB08922	12014472
DB08927	12013735
DB08930	123055423
DB08931	87550988
DB08934	136350055
DB08939	12015542
DB08942	12015504
DB08943	12015485
DB08947	12015543
DB08950	12013380
DB08951	22395903
DB08952	12015482
DB08955	22395231
DB08961	12013960
DB08964	12013345
DB08974	12015477
DB08976	22395233
DB08981	12015365
DB08986	12015558
DB08992	12013323
DB08998	12013333
DB09006	12013354
DB09010	12013343
DB09013	12013339
DB09017	12013024
DB09022	22395601
DB09026	12015239
DB09030	81044371
DB09031	12014266
DB09034	99431637
DB09038	136350032
DB09039	123055388
DB09041	22395917
DB09042	85197656
DB09047	87550965
DB09050	123055390
DB09054	136350004
DB09055	12013718
DB09056	12014644
DB09059	12014192
DB09060	85197641
DB09061	12012585
DB09062	12012783
DB09064	12013723
DB09068	136349982
DB09070	12013759
DB09073	12015755
DB09074	85197660
DB09075	92309403
DB09083	12014885
DB09094	12012576
DB09097	12013484
DB09101	12015964
DB09102	136350031
DB09118	12012842
DB09119	85197631
DB09120	12015395
DB09123	12012771
DB09132	12014125
DB09135	12014285
DB09137	12013142
DB09161	12013971
DB09161	12014028
DB09161	12014155
DB09166	12013149
DB09172	12014600
DB09174	136349970
DB09175	12014499
DB09181	12014476
DB09187	12012821
DB09192	22395423
DB09194	12012660
DB09197	22395278
DB09198	81044370
DB09199	12014903
DB09200	81044358
DB09201	12012730
DB09202	12012735
DB09204	12013929
DB09206	12013743
DB09211	12014005
DB09212	12013962
DB09213	12014434
DB09213	125299288
DB09215	12013461
DB09220	12014252
DB09221	12014184
DB09223	12014539
DB09225	12013422
DB09227	12014239
DB09229	12013878
DB09230	12014219
DB09231	12012930
DB09232	12014042
DB09233	12014147
DB09234	12013030
DB09235	12014223
DB09236	12014025
DB09237	12013616
DB09238	12014226
DB09239	12014316
DB09240	22395312
DB09242	12013127
DB09244	12015301
DB09245	12013317
DB09267	12014584
DB09270	24714735
DB09271	12013732
DB09273	12013168
DB09274	12013392
DB09280	125299339
DB09282	12013439
DB09288	12012884
DB09289	12013284
DB09290	12014527
DB09292	123055424
DB09295	12013313
DB09298	12015320
DB09299	136349973
DB09304	12013977
DB09305	22395487
DB09306	22395242
DB09308	136349990
DB09324	12013963
DB09351	12012676
DB09477	12012891
DB09480	12012833
DB09487	12012969
DB09488	12012900
DB09546	12013292
DB11255	12015576
DB11336	99431549
DB11364	12014263
DB11366	12013474
DB11372	22395249
DB11389	22395262
DB11393	12014668
DB11401	12013637
DB11403	12015634
DB11404	12013765
DB11409	22395364
DB11411	22395266
DB11413	12015270
DB11428	12013628
DB11428	12014284
DB11429	12015468
DB11446	22395238
DB11450	12012945
DB11466	12014232
DB11468	12014082
DB11472	22395299
DB11473	12014500
DB11481	12013913
DB11491	12012901
DB11510	12013370
DB11511	12012898
DB11518	22395581
DB11525	12013465
DB11537	12012711
DB11556	12013198
DB11560	136350034
DB11586	99431640
DB11591	99431546
DB11614	12014846
DB11616	12012815
DB11617	12012618
DB11618	12013346
DB11619	12013155
DB11620	99431532
DB11633	12015361
DB11637	92309413
DB11638	12015359
DB11641	12014949
DB11644	99431604
DB11647	26683770
DB11649	57304399
DB11651	26746658
DB11654	22395203
