drugbank_id	ibm_id
DB00121	565E651A1A53766AEE4A53768F0650F6
DB00121	68222578531099DEC0A8E766C7EF857B
DB00121	806E7C91D7580D254DF0E4E8C21B7D4E
DB00121	83481F9612AC66EBC812E3356119D818
DB00121	97AA25ADBAB2A2D203704EFA8D2F4717
DB00121	B0CB16EEBB5EF0837ADD6CD900459976
DB00121	B3E7ACA129554633FF0C7864C16F79F4
DB00121	BEB35B41592CAB7E9668A7629EABA39D
DB00121	E2B0C5F3330EDBB26452EC9442AB2A8B
DB00121	E4D694900CB185A461781ABF18F7BB0C
DB00121	F8C72BCFEB598D92AE7A6D2CB96F8362
DB00122	A65ED2E65DE49C999ECCAE54C2D6D2D2
DB00122	BA1E6D8A3107EA78E42DE74492762120
DB00122	C9D7DB953443E04EAE63A69401FFC5CA
DB00123	0B7158A9F983ED6CAEECCE2949801181
DB00123	1E90DF1CC629F7B526A8202536D30A05
DB00123	2E17CE6B8A5C63E418AF25DB0EBD2A24
DB00123	2F99B39FAAA8C459CC96A2D035AF5D2A
DB00123	3B62492F84C09AC54270EF0432CCBD45
DB00123	44152C4B0F4CA9BF62F10E6EEF665564
DB00123	4CAC931CF7B20C9AF873E217E9C6278F
DB00123	566A35950C2BBF31E5BEB9066F2703B4
DB00123	60CBC6813D18171861A293C1C1B894AA
DB00123	6E93B9CA0B70FDE6A316B551584DC011
DB00123	719489093C5D4316B387B97C7E83E14F
DB00123	755E0399B18C570A50FBBDCAAA8C8A14
DB00123	79F2F138F4716CBA36B64E5BF370EA9B
DB00123	86E265F33AC768F908A94C6624685A82
DB00123	906B3DE7A84C5AF8615E4F9E65285F9B
DB00123	A56B1E562AC5DAFBD3F53C8265E3369D
DB00123	C0683D3F83A2782F69C06815A948ED56
DB00123	DD35C410490A9111EEFC67568E4DDE3F
DB00123	DE6763F3CC02F65F1F587FD6B012C82E
DB00123	DFB6D5F09DB98381994A810078C6E3FC
DB00123	FC5D732058ECD6E9CED35190B27AF72E
DB00125	02D7E32ECABE1B8BDE6E533FDC972288
DB00125	1273D20E441E93F5B77DB4DE0D46FF0C
DB00125	17652590932F85BA55A6B3D7BD9436DA
DB00125	1AAE1E0C60FB593D9E83E10501D612FC
DB00125	1AD6CAFAC922BA363326DCD666128C56
DB00125	1B0EC5F7E6B81A32845D87914741201C
DB00125	21A2A246EC4914A4693A273465FD0C55
DB00125	2F89683E5D23CFB6D0B5AE366BEE49B5
DB00125	3F609F9FF3CA224C6F069F5B0A2A3844
DB00125	42D735994AF43C8C9FF8CD4219FE9E11
DB00125	4F939375B2156081A6ACCB5ACA8C9580
DB00125	613FD9E992FCB5BA8633785CF5FED391
DB00125	6259683DECBD35D3E4DF01A2D2A5C7BA
DB00125	7F416FA9C20A765466D1FF20BF752E95
DB00125	8A841ADEE25E36F63EC2028B05B7B609
DB00125	96EE8624E4F90FE86CDA58596FCE50A5
DB00125	981BE59FBEC963D570EBE7BD0716C21B
DB00125	C84AF2C1536176CA4632D2BC9C40E3D3
DB00125	EE425DE9650CD5CE18ED7B39D474E553
DB00125	F56316B3F955DFC6159A1FA288C5D274
DB00126	229353E3405220C1BA1E0BBFADBA2A05
DB00126	547778446AC0204262E8DE88D0FF13FA
DB00126	C42BFB19D0FADFA982122BE777C47148
DB00126	D9C744AA1D98008DA61B3D7D33632AF3
DB00127	B432D74F1D373762C4A285045361B8F1
DB00128	1257B882F9BA5822115A5F588CAD9F16
DB00128	2C407F1AD3B8CA4BE5848058684884ED
DB00128	40A8C04D9ABC3F3A43D2961715905F12
DB00128	4EF99A3C7C03F57B8ADEE5262E0CBDDC
DB00128	6217CA10A5D8B438EDBEB1DBD42A98A4
DB00128	7EEF793A48E139AA31A8D1A766E5EF2B
DB00128	8C4F4A2F84779361550D6A68B6421B5A
DB00128	959DACF1CE973CA1CBA2926D658C401F
DB00128	A6016DC9925F383915165408210FC17E
DB00128	B7E8EF2DA09545B599CB815753C40763
DB00128	D1BE5A2D2BBD10D078709C441A127BB4
DB00128	D3CE2FDAAF6023512783A99D7D80ED6B
DB00128	D60DFCD343EA04C8C313489007B52D51
DB00129	6CB0001E8A29097530DB5D3DFC45A18C
DB00129	827933E0772E27F6F9DAFD2A9585A321
DB00129	855FB734036B4590C19BFFDBAB5B721B
DB00129	975307945257F0D710AC10F256F94967
DB00129	B23268EE47E34B5C973DEFC7AAAEDCDE
DB00129	DA950AD91F42BB17E0BFAB39EC9FD419
DB00129	F606CB6254725FF5859F2472BF9FCA6B
DB00130	3BA33EE511A334572CB63E7DC21FD0AB
DB00130	4C920AF84DE882F0FAD93826E1F4D40E
DB00130	5880761DC6FC2034DB63AD214AD96CC4
DB00130	85F6A060B41E343F9773143B2A0FFA9F
