drugbank_id	fdasrs_id
DB00271	4T76D71T6U
DB00271	5UVC90J1LK
DB00271	75P8ODS709
DB00271	9PCJ65W0EE
DB00271	O08Q0N9P6D
DB00271	QUN7V7A9UT
DB00271	V5403H8VG7
DB00272	1C065P542O
DB00272	66ABP6C83F
DB00273	0H73WJJ391
DB00274	37Y9VR4W7A
DB00274	3J962UJT8H
DB00275	8W1IQP3U10
DB00275	DJD559V57Z
DB00276	00DPD30SOY
DB00276	7LWQ0T63UA
DB00276	M4P91439UZ
DB00276	U66HX4K4CO
DB00277	0I55128JYK
DB00278	0DW7MIH1VX
DB00278	4YBM839JAC
DB00278	88X69347Z5
DB00278	LLV7G55828
DB00279	06LU7C9H1V
DB00279	46XII7C16X
DB00279	86AZ0G22V2
DB00279	C21TJ28135
DB00279	GCA9VV7D2N
DB00279	S1UAI9MKMG
DB00279	T66DHO0SET
DB00280	4HB8OU08NH
DB00280	O14QWZ0EF7
DB00281	98PI200987
DB00282	8742T8ZQZA
DB00282	C7S8VWP5DH
DB00282	MUA93Q6K1J
DB00282	OYY3447OMC
DB00283	19259EGQ3D
DB00283	95QN29S1ID
DB00284	T58MSI464G
DB00285	5FIM3PQD9S
DB00285	720K1ZAR2W
DB00285	AL5UH8PGJ7
DB00285	B33212715Z
DB00285	Q5U4V043UP
DB00285	XS0LK87KMF
DB00287	IDA6371YXH
DB00287	NDD23J941F
DB00287	WJ68R08KX9
DB00288	423W026MA9
DB00289	57WVB6I2W0
DB00289	ASW034S0B8
DB00290	13M89UEA7W
DB00290	26S41LI56J
DB00290	U4S5LQV9S2
DB00291	18D0SL7309
DB00292	Y26131IQZI
DB00292	Z22628B598
DB00292	ZUM3W5027S
DB00293	50VZN4BPUK
DB00293	FCB9EGG971
DB00294	304GTH6RNH
DB00296	0494L275Q6
DB00296	35504LBE2T
DB00296	7IO5LYA57N
DB00296	L3PZV0QTF5
DB00296	MI262Q4RJI
DB00296	MJO2D2C5RI
DB00296	V910P86109
DB00297	16O5OYF58E
DB00297	A5H73K9U3W
DB00297	J998RDZ51I
DB00298	5RNZ8GJO7K
DB00298	DS9UJN1I0X
DB00299	359HUE8FJC
DB00299	P06226385L
DB00300	05F4G8DO5I
DB00300	2D4WI76OMK
DB00300	7BI6HE4F8S
DB00300	94882WB39E
DB00300	F06G7ZBB70
DB00300	F4YU4LON7I
DB00300	OTT9J7900I
DB00301	05F65O42VK
DB00301	1L80I8UP9C
DB00301	43B2M34G2V
DB00301	4Z8782KMVT
DB00301	LMG7C674WJ
DB00302	37YD696II6
DB00302	6T84R30KC1
DB00303	2T90KE67L0
DB00303	G32F6EID2H
DB00303	P5HEA33D9R
DB00304	81K9V7M3A3
DB00305	50SG953SK6
DB00307	A61RXM4375
DB00309	CPH2U7DNDY
DB00309	RSA8KO39WH
DB00310	0953RA202M
DB00310	BG985RL8SP
DB00311	Z52H4811WX
DB00312	8DF73ON6SJ
DB00312	U7D0E1VOAM
DB00313	614OI1Z5WI
DB00314	2V198449RN
DB00314	2YP3RYC823
DB00314	4AUQ151IUH
DB00314	7LHE7403KL
DB00316	362O9ITL9D
DB00317	S65743JHBS
DB00319	9I628532GX
DB00319	M98T69Q7HP
DB00319	X00B0D5O0E
DB00320	436O5HM03C
DB00320	76F2R89O7X
DB00320	81AXN7R2QT
DB00321	1806D8D52K
DB00321	26LUD4JO9K
DB00321	YX6VNM127F
DB00322	039LU44I5M
DB00323	CIF6334OLY
DB00324	SV0CSG527L
DB00327	75Y990NH3Z
DB00327	L960UP2KRW
DB00327	Q812464R06
DB00328	XXE1CET956
DB00330	8G167061QZ
DB00330	9SH638YWNG
DB00330	JV86Y0CIVF
DB00331	6AI63CHT0T
DB00331	9100L32L2N
DB00333	1Q1YXA5GYG
DB00333	6Y75Z4E8NS
DB00333	IB8UWS70QG
DB00333	S95RZH8AMH
DB00333	V57LC776C0
DB00334	0KNI3MFH5F
DB00334	0Q8K2L0MC3
DB00334	BC164W3V2U
DB00334	H6S0L674WD
DB00334	N7U69T4SZR
DB00334	X7S6Q4MHCB
DB00335	DPF757BOSR
DB00335	YG132I00WY
DB00336	X8XI70B5Z6
DB00337	7KYV510875
DB00339	2KNI5N06TI
DB00341	4792TC1585
DB00341	6U5EA9RT2O
DB00341	SOD6A38AGA
DB00341	V57G6B5I8Z
DB00341	W69HSF2416
DB00343	14Y6444DRP
DB00343	896626Q8XW
DB00343	EE92BBP03H
DB00343	OLH94387TE
DB00344	44665V00O8
DB00344	4NDU154T12
DB00345	SUO3KVS1O9
DB00345	Y79XT83BJ9
DB00346	5T08994LU7
DB00346	GAT158X947
DB00346	H9XPE51RF2
DB00346	R6GWZ0V0VY
DB00347	R7GV3H6FQ4
DB00348	K5BN214699
DB00349	2MRO291B4U
DB00350	5965120SH1
DB00350	70J7ZH7ECA
DB00350	HM46T3593Q
DB00351	TJ2M0FR8ES
DB00352	4T84349O1E
DB00352	FTK8U1GZNX
DB00352	WIX31ZPX66
DB00353	5EDH242U9O
DB00353	IR84JPZ1RK
DB00353	W53L6FE61V
DB00355	5Q55M3D9UA
DB00355	G2B4VE5GH8
DB00355	XNM7LT65NP
DB00356	H0DE420U8G
DB00357	49390WAD7F
DB00357	5S1T2OED7F
DB00357	625K4DEO0G
