chebi	drugbank
94510	DB04820
94562	DB11958
94615	DB13573
94686	DB01083
94714	DB09273
94723	DB11426
94731	DB08984
94758	DB08806
103932	DB14068
94843	DB06652
125484	DB13070
125535	DB12395
125562	DB02565
91353	DB12429
91398	DB12200
91414	DB11740
91433	DB05913
92269	DB13740
92338	DB13550
132041	DB14213
47566	DB03328
140421	DB12364
140621	DB00565
143080	DB04419
143120	DB07267
66910	DB06626
41611	DB03415
65148	DB01818
67033	DB14706
5893	DB00808
64610	DB01520
7575	DB00393
63223	DB02023
63623	DB00566
63748	DB08409
64089	DB03701
63612	DB01280
64187	DB12783
31832	DB09543
64216	DB13520
63845	DB00634
57981	DB02556
63918	DB09274
63560	DB09091
63584	DB06772
57743	DB00155
46295	DB00862
63451	DB11886
39959	DB07072
31644	DB00538
33322	DB11346
64301	DB09116
15640	DB00650
70752	DB14726
65408	DB05767
88339	DB15399
132767	DB09147
132774	DB04847
133530	DB14630
138033	DB06446
27960	DB04223
75384	DB04331
75922	DB06802
76005	DB06395
76010	DB08930
76138	DB11518
76160	DB08955
76263	DB13527
76612	DB09053
77013	DB06732
77092	DB11410
77152	DB06748
77325	DB02127
77397	DB00215
77431	DB00297
8435	DB00433
3493	DB01329
45141	DB02756
83527	DB06700
84073	DB05128
6931	DB00683
8985	DB11869
90205	DB04977
90241	DB11641
7773	DB00904
9747	DB12025
10607	DB12450
125	DB13153
79988	DB07425
8056	DB13606
8059	DB01579
29710	DB14109
31675	DB14543
31683	DB05683
32289	DB13459
32322	DB12911
34208	DB11221
81005	DB15565
81292	DB13637
81293	DB13690
81301	DB13531
81302	DB13224
34745	DB13954
34772	DB12923
34791	DB00473
34831	DB14659
34930	DB14626
3646	DB01556
40300	DB07217
4109	DB01486
81896	DB13347
81987	DB15230
4609	DB13336
4650	DB01548
4800	DB13757
5856	DB00308
6709	DB00737
31638	DB00947
132082	DB11841
132233	DB00182
133013	DB05541
140408	DB15445
140478	DB11692
116735	DB01086
15963	DB14704
27575	DB02930
3087	DB12480
31413	DB00349
31783	DB06725
33198	DB13180
34687	DB13716
35290	DB13963
35940	DB09421
3716	DB00827
40154	DB01629
40326	DB02662
40618	DB05383
40836	DB03926
40968	DB06543
41341	DB04501
41928	DB03722
41948	DB06243
42040	DB07661
42255	DB03823
42394	DB03500
42492	DB07764
42566	DB02087
42820	DB00536
43136	DB02486
43433	DB01739
43943	DB01979
43960	DB02810
44303	DB03552
44932	DB01614
45373	DB00259
45931	DB01987
46195	DB00316
46322	DB03448
46534	DB04436
46788	DB02249
47395	DB04529
47980	DB04538
48790	DB07552
48828	DB14205
48950	DB03817
49145	DB02228
49375	DB01254
49468	DB14521
49477	DB03006
49544	DB14525
49644	DB01671
49701	DB14579
50305	DB01179
51246	DB02166
52717	DB00188
546274	DB08294
566274	DB03057
5864	DB01181
593538	DB04761
599928	DB04570
6741	DB00814
68236	DB08407
6997	DB00680
34910	DB13415
40443	DB07331
47249	DB02277
6520	DB01206
7025	DB00410
77780	DB06729
77942	DB09041
78549	DB09286
79042	DB09071
87184	DB03808
87738	DB14055
87738	DB02507
139151	DB04362
72297	DB08827
72322	DB09563
73112	DB04333
73172	DB07338
102029	DB02712
9449	DB00871
9667	DB00620
40477	DB02299
41039	DB11748
44278	DB03740
44841	DB02119
45257	DB03615
45558	DB03853
49339	DB06838
78948	DB03915
78290	DB03552
600103	DB00080
85089	DB09027
85183	DB09296
85202	DB06614
27644	DB09093
29673	DB11753
85609	DB04996
90620	DB04879
90683	DB05412
90721	DB02044
134716	DB09128
134823	DB13662
134828	DB13604
134844	DB14159
134892	DB06261
134936	DB00885
134961	DB13817
134992	DB13768
135048	DB13810
135074	DB08988
135083	DB13358
135089	DB09288
135105	DB13435
135124	DB13801
135156	DB09290
135187	DB04826
135191	DB13819
135223	DB12727
135272	DB08986
135295	DB01511
135309	DB13623
135342	DB00234
135364	DB13463
135381	DB12902
